stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,18.4,0,0,0,52.57,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,349.62,26.29,0,0,123.55,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.67,9.44,0,0,88.12,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,13,56,9,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,28,128,6,0,3,3,0,8,0,18,6,24,50,0,0,2,0,0
 24-34,0,0,4.1,38.58,0.82,0,18.06,0,2.46,1.64,6.57,0.82,0,2.46,0,4.1,0,0,0,0,100.14,0.82,1.64,40.22,208.5,10.67,0,4.1,0,0,33.66,0,0,0.82,7.39,63.21,0,0,9.85,0,0
 36-46,0,0,0,17.72,0.81,0,13.7,0,0.81,1.61,7.25,0.81,0,0,0,0,0,0.81,0,0,74.93,0,2.42,21.75,99.1,4.83,0,3.22,0,0,18.53,0,0,3.22,0,27.39,0,0,9.67,0,0.81
 48-58,0,0,0,15.49,0,0,18.36,0.57,1.72,2.87,9.75,0,0,0.57,0,0.57,0,1.72,0.57,0,128.53,0.57,2.87,24.67,33.28,5.74,0,2.87,0,0,12.62,0,0,1.15,0,13.2,0,1.15,4.02,0,0
 60-70,0,0,0,17.67,0,0,10.8,0,5.89,0.98,5.89,1.96,0,1.96,0,0.98,0,0.98,0,0,147.23,1.96,7.85,15.7,26.5,3.93,0,1.96,0,0,17.67,0,0,2.94,0,2.94,0.98,1.96,2.94,0,0.98
 72-82,0,0,0,18.65,0,0,10.8,0,1.96,2.94,9.82,0,0.98,0.98,0,0,0,0,0,0.98,227.75,1.96,4.91,18.65,21.6,1.96,0.98,5.89,0,1.96,14.72,0,0,0,0,1.96,0,1.96,8.83,1.96,0.98
 84-94,1.06,0,0,32.92,0,0,13.81,0,6.37,2.12,12.74,2.12,1.06,2.12,1.06,0,0,1.06,1.06,0,122.13,1.06,6.37,9.56,16.99,1.06,1.06,6.37,0,1.06,32.92,0,0,1.06,0,1.06,1.06,1.06,7.43,4.25,1.06
 96-106,0,0,0,22.95,0,1.09,9.84,0,6.56,4.37,18.58,3.28,0,1.09,0,1.09,2.19,2.19,0,1.09,98.36,2.19,7.65,9.84,22.95,4.37,1.09,6.56,0,2.19,28.41,1.09,0,3.28,0,3.28,0,4.37,2.19,4.37,1.09
108-118,0,0,0,26.81,0.77,0,9.96,0.77,6.89,4.6,9.96,3.06,0,2.3,1.53,3.06,0.77,0.77,0.77,0,86.55,0.77,3.83,9.19,7.66,3.83,1.53,3.83,0,0.77,24.51,0,0,0.77,0,0,0.77,0.77,3.06,2.3,1.53
120,0,0,0,23.52,0,0,3.92,0,7.84,1.96,9.8,3.92,0,0,1.96,5.88,0,0,0,0,47.03,0,1.96,3.92,25.48,5.88,0,3.92,0,0,29.4,0,0,1.96,0,0,0,1.96,5.88,7.84,1.96
