stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,711.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,110.41,0,0,0,10.51,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,728.15,0,0,0,57.83,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,346.17,0,9.44,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3288.58,12.59,0,0,125.88,0,6.29,0,3.15,22.03,3.15,0,0,0,0,0,0
 14-21,1,0,1,98,3143,13,0,28,0,26,0,3,51,5,0,0,35,0,3,5,0,28,11,0,5,90,2,3,20,7,0,7,2,8,23,10,19,0,0,0,0,0
 24-34,0,0,0,54.18,1537.46,0,0,15.6,0,120.67,0,1.64,19.7,2.46,0,0,18.06,0,21.34,12.31,0,14.78,22.16,0,0.82,70.59,0.82,16.42,43.51,0,0,4.1,0,0,15.6,1.64,14.78,0,0,0.82,0,0
 36-46,0,0,0,7.25,638.09,0,0,6.45,0.81,107.15,0,1.61,8.06,0,0,0,2.42,0,33.84,5.64,0,8.06,4.83,0,1.61,38.67,0.81,15.31,22.56,0,0,0,0.81,0,6.45,0,5.64,0,0,0,0,0.81
 48-58,0,0,0,1.15,446.99,0,0,13.77,0,122.22,0,4.02,6.89,2.3,0,0,1.15,0,29.84,5.16,0.57,9.75,5.74,0.57,1.72,31.56,0.57,10.33,23.53,0,0,0.57,0,0,2.3,0,9.75,0,0,0,0,1.72
 60-70,0,0,0,0,399.48,0,0,8.83,0,92.26,0.98,0.98,29.45,0.98,0,0,6.87,0,31.41,2.94,0,9.82,6.87,0.98,0,23.56,0,10.8,15.7,0,0,0,0,0,2.94,0,2.94,1.96,0,0.98,0,0
 72-82,0,0,2.94,0,379.9,0,0,12.76,0,84.42,0,2.94,75.59,3.93,0,0,15.71,0,43.19,1.96,0,21.6,6.87,0,2.94,21.6,0,20.61,18.65,0,0,0.98,0.98,0,2.94,0,1.96,6.87,0.98,0.98,0,0
 84-94,0,0,2.12,2.12,621.29,3.19,0,6.37,0,143.38,0,5.31,152.93,4.25,1.06,2.12,23.36,0,37.17,7.43,0,16.99,3.19,0,1.06,20.18,0,21.24,18.05,0,0,1.06,0,0,8.5,0,1.06,14.87,1.06,0,3.19,0
 96-106,0,0,2.19,0,609.81,4.37,1.09,24.04,0,118.03,1.09,3.28,133.33,0,0,1.09,25.14,0,33.88,3.28,0,15.3,4.37,2.19,2.19,28.41,0,22.95,22.95,0,1.09,4.37,0,0,4.37,0,0,20.76,2.19,2.19,2.19,0
108-118,0,0,2.3,0,494.05,0,0.77,24.51,0,150.13,0,3.06,103.41,0,0.77,0.77,31.4,0.77,26.81,5.36,0,13.79,5.36,1.53,0,31.4,0,18.38,14.55,0,0,2.3,0,0,8.43,0,0.77,12.26,0.77,0,0,0.77
120,1.96,0,0,1.96,376.28,0,0,9.8,0,96.03,0,3.92,64.67,0,0,0,17.64,0,15.68,1.96,0,3.92,7.84,0,0,25.48,0,21.56,19.6,0,0,1.96,0,0,5.88,0,0,7.84,0,0,0,0
