stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,204.55,3.15,0,0,56.65,0,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,1,124,3,0,8,0,0,0,2,1,4,0,0,0,0,0,0,0,11,0,8,261,12,1,1,4,0,11,0,24,3,11,73,0,0,1,0,0
 24-34,0,0,0,0,18.06,0.82,0,40.22,0,0.82,0,11.49,7.39,0.82,0,0,0,0,0.82,0.82,0,45.97,1.64,22.98,1450.45,4.1,2.46,3.28,0,0,9.85,0,0,4.93,5.75,131.34,0,0,7.39,0,2.46
 36-46,0,0,0,0.81,10.47,0.81,0,92.65,0,0,0,44.31,6.45,0,0,0.81,0.81,0,1.61,0.81,0,68.48,0,6.45,2112.46,3.22,6.45,4.83,0,0,4.03,0,0,0.81,0,191.75,0,0,4.83,0,0
 48-58,0,0,0,0,8.03,0,0,135.42,0,0,2.3,82.63,2.3,0,1.15,0,1.15,0,1.15,2.87,1.72,67.14,1.15,14.92,1315.16,0.57,2.87,1.72,0,0.57,2.3,0,0,0,0,88.37,0,0,1.72,0,1.72
 60-70,0,0,0,0,9.82,0,0,141.34,0.98,0,1.96,64.78,1.96,0,0.98,2.94,0,0.98,1.96,1.96,0,72.63,2.94,5.89,1106.18,0.98,4.91,0,0,0,2.94,0,0,0,0,58.89,0,0,5.89,0,0.98
 72-82,0,0,0.98,0,15.71,0.98,0,105.04,0,0,4.91,66.75,1.96,0.98,0.98,0.98,1.96,0.98,0.98,0.98,0,64.79,0.98,9.82,735.26,0,5.89,2.94,0,0,2.94,0,0,0,0,32.39,0,0.98,3.93,0,0
 84-94,0,0,0,0,12.74,1.06,0,83.9,1.06,2.12,3.19,47.79,1.06,0,2.12,1.06,2.12,2.12,0,0,0,53.1,2.12,8.5,451.37,0,4.25,5.31,0,0,2.12,0,0,1.06,0,20.18,0,0,3.19,0,0
 96-106,0,0,1.09,0,13.11,1.09,1.09,46.99,0,0,4.37,54.64,6.56,0,0,3.28,0,0,0,0,0,51.36,1.09,5.46,334.41,0,7.65,9.84,0,0,2.19,0,0,1.09,0,7.65,1.09,0,3.28,2.19,3.28
108-118,0,0,0,0,14.55,0.77,0,46.72,0.77,1.53,7.66,38.3,3.06,0,0,1.53,1.53,3.06,0,0.77,0,32.94,1.53,6.13,432.77,1.53,8.43,5.36,0,0,3.06,0,0,0.77,0,5.36,0,0,3.06,3.06,0
120,1.96,0,0,0,13.72,0,0,62.71,0,1.96,5.88,47.03,3.92,0,3.92,5.88,1.96,0,0,0,0,25.48,1.96,7.84,327.28,0,1.96,3.92,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0
