stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,490.37,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,57.83,0,0,0,31.54,89.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,37.76,62.94,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,35,0,0,4,0,0,1,5,16,0,0,16,0,0,1,3,0,0,13,1,0,2,0,623,1,1,1,1,2,5,0,1,0,0
 24-34,0,0,0,4.1,37.76,0,0,0,0,0.82,1.64,4.93,4.93,0,0.82,60.74,5.75,1.64,6.57,36.94,0,3.28,52.53,0,12.31,5.75,0,943.98,0,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,14.5,0,0,7.25,2.42,0,1.61,1.61,0.81,0,0,16.92,3.22,0,2.42,33.03,0,1.61,38.67,0,17.72,7.25,0,999.84,1.61,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,21.23,0.57,0,21.8,5.74,0,1.15,2.87,4.59,0,0,9.18,4.02,0.57,3.44,36.15,0,0.57,22.38,0,9.18,3.44,0,682.83,0,0,1.15,0,0,3.44,0,0,0,0
 60-70,0,0,0.98,0.98,39.26,0,0,49.08,7.85,0,0,7.85,3.93,0,0,11.78,7.85,0.98,1.96,31.41,0.98,0,14.72,0,11.78,6.87,0,489.78,0,0,0.98,0,0,1.96,6.87,0,0,0
 72-82,0,0,6.87,0,83.44,0,0,48.1,12.76,0,5.89,48.1,6.87,0,0,25.52,11.78,0.98,6.87,58.9,0,0,27.49,0,15.71,20.61,0,554.64,0,0,1.96,0,0,0,20.61,1.96,0,1.96
 84-94,0,0,8.5,1.06,137,0,0,28.68,22.3,0,1.06,92.4,4.25,0,0,28.68,13.81,2.12,2.12,46.73,0,0,13.81,0,15.93,16.99,0,1377.46,0,0,4.25,0,0,1.06,59.47,0,1.06,0
 96-106,0,0,5.46,0,212.01,1.09,1.09,42.62,24.04,0,0,162.83,0,0,3.28,48.09,21.86,1.09,1.09,60.11,0,2.19,28.41,1.09,33.88,30.6,0,1316.88,0,0,2.19,0,0,1.09,108.19,0,0,0
108-118,0,0,2.3,5.36,178.47,1.53,0.77,52.09,36.77,0.77,6.13,150.13,0,0.77,0.77,48.26,16.85,2.3,7.66,38.3,0,0.77,29.87,0,17.62,11.49,0,1184.94,0,0,3.06,0,0,0.77,100.34,0,1.53,0
120,0,0,0,0,150.9,3.92,1.96,37.24,41.16,1.96,0,99.95,0,0,0,25.48,11.76,0,5.88,27.44,0,0,35.28,0,17.64,17.64,0,783.91,0,0,3.92,0,0,3.92,29.4,0,0,0
