stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0.98,0,5.89,0,0,0,0,0,0.98,0,4.91,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.06,0,0,0,0,3.19,0,1.06,0,0,0,1.06,1.06,10.62,0
 96-106,0,0,3.28,2.19,3.28,0,1.09,2.19,2.19,0,1.09,1.09,0,0,478.67,0,7.65,2.19,0,61.2,1.09,4.37,0,1.09,1.09,3.28,0,7.65,0
108-118,0,0,6.13,0,12.26,1.53,0,0.77,0.77,0,0,1.53,0.77,0.77,1229.37,0.77,8.43,0.77,1.53,59.75,0.77,3.83,0.77,0,0,0.77,0.77,4.6,0.77
120,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,582.06,0,0,0,0,25.48,0,3.92,0,0,0,0,0,3.92,0
