stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,13.95,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81,0,24.98,0
 48-58,0,0,1.15,1.15,0.57,6.89,0,0,0,1.15,0,7.46,0,0,0.57,0,1.72,0,31.56,0
 60-70,0,0,0.98,2.94,0,17.67,0,0.98,3.93,3.93,0,4.91,0,0,0,0,2.94,0.98,42.21,0
 72-82,0,0,12.76,2.94,0,30.43,0,0,0.98,4.91,1.96,6.87,0,0,0.98,0,1.96,0,82.46,0.98
 84-94,0,0,5.31,5.31,0,13.81,2.12,0,3.19,9.56,0,3.19,0,0,0,0,1.06,1.06,83.9,2.12
 96-106,0,1.09,4.37,4.37,0,27.32,0,2.19,4.37,14.21,1.09,6.56,1.09,0,0,0,1.09,0,126.77,4.37
108-118,0,0.77,3.83,1.53,0.77,21.45,0,0,3.83,22.21,0,6.89,0,0,0,0.77,0,0,83.49,3.06
120,0,0,5.88,1.96,1.96,15.68,0,0,3.92,5.88,0,3.92,0,1.96,0,0,1.96,0,66.63,1.96
