stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,0,2.63,26.29,0,2.63,0
 10-12,0,0,0,0,0,0,0,15.73,0,6.29,0
 14-21,0,0,1,0,0,0,0,2,0,0,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,4.91,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0
