stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,3.22,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,0,2.3,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,2.94,1.96,0,0
 72-82,0.98,0.98,0,1.96,0,0.98,0,0,0,0,0.98,0.98,1.96,0.98,0,0,1.96
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,0,1.09,0,0,0,1.09,1.09,0,1.09,0,0
108-118,0,0,0.77,0.77,0.77,0,0,1.53,0,0,0,0,3.06,1.53,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
