stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.4,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,672.95,0,0,0,149.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.53,0,9.44,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.19,12.59,0,0,503.52,0,0,3.15,9.44,0,3.15,25.18,0,0,0,0
 14-21,1,0,0,0,44,3,11,0,0,0,65,1,0,1,0,0,1,0,1,0,6,0,0,2,1383,1,15,17,20,0,1,6,1,0,7,1348,0,1,0,0
 24-34,0,0,0,0,28.73,0,71.41,0,1.64,0,59.92,0,1.64,0,1.64,0,0,0,0.82,0,13.13,0,0,6.57,2219.59,1.64,20.52,23.8,0,0,8.21,0,3.28,0.82,1.64,968.61,0,5.75,0,0
 36-46,0,0,0,0.81,9.67,0,462.45,0.81,0.81,0.81,53.98,0,0,0,1.61,0.81,0.81,0,0,0,16.11,0.81,0.81,3.22,2335.64,1.61,5.64,4.03,0,0,3.22,0.81,0.81,0,0.81,986.14,0,4.03,0,2.42
 48-58,0.57,0,0,0,10.9,0,702.34,0,1.15,1.15,60.82,0,0,0.57,0,0,0,1.15,0,0.57,16.64,0,0,3.44,1247.45,1.15,2.87,1.15,0,0,1.15,0,1.15,0,0,629.46,0,0.57,0,2.3
 60-70,0,0,0,0,1.96,0,387.7,0,0,0,43.19,0,0,0,0.98,0,0,0,0,0,3.93,0,0,2.94,421.07,0,0,0,0,0,0.98,0,0,0,0,181.58,0,0,0.98,0
 72-82,0,0,0.98,0,3.93,0.98,189.46,0.98,0,0,74.61,0.98,0,0.98,2.94,0,0,0,0,0,14.72,0,0,3.93,396.59,0.98,3.93,0.98,0,0.98,2.94,0,0,0,0,81.48,0,0,0,0
 84-94,0,0,1.06,0,5.31,0,149.75,0,0,0,50.98,0,0,0,0,0,0,0,0,0,6.37,0,0,1.06,201.79,0,3.19,1.06,0,0,0,0,1.06,0,0,54.16,0,1.06,0,1.06
 96-106,0,0,0,0,12.02,1.09,108.19,1.09,0,0,62.29,0,0,1.09,0,0,1.09,0,0,0,7.65,0,1.09,1.09,156.28,0,1.09,0,0,0,1.09,0,0,0,0,26.23,1.09,1.09,0,0
108-118,0,0,0,0,3.06,2.3,95.75,0,0,0,52.85,0,0,0.77,0.77,0,0,0.77,0,0,5.36,0,0,0,204.51,0,3.83,1.53,0,0.77,0,0,0,0,0,15.32,0,0.77,0,0
120,0,0,0,0,3.92,0,86.23,0,0,0,47.03,0,0,0,0,0,0,0,0,0,3.92,0,1.96,3.92,162.66,0,0,0,0,0,0,0,0,0,0,15.68,1.96,1.96,0,0
