stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,2.46,1.64,0,0,2.46,0,0,0,0.82,0,0.82,0,0,0,0,0,0,165.81,0,0,3.28,22.16,0,2.46,0,0,1.64,0,0.82,7.39,0,0,9.03,0,0
 36-46,0,0,0.81,0,0,0,5.64,0,0,0,0,0.81,0,0.81,0,0,0,0,0,253.79,0,0.81,8.06,34.64,0,0,0,0,1.61,0,0.81,7.25,0,0,30.62,0,0
 48-58,0,0,0.57,1.72,0,0,19.51,0,0,1.15,1.15,0,0,0.57,1.15,0,0,0,0.57,317.31,0,0,2.3,79.76,0.57,0,0,0,0.57,0,0,18.94,0,0,37.87,0,1.15
 60-70,0,0,0,3.93,0,0,24.54,0,0.98,0,4.91,0.98,0,0.98,0,0,0,0,0.98,521.19,0,0.98,10.8,46.13,0.98,0,0.98,0.98,3.93,1.96,0,10.8,0,1.96,44.17,0,0
 72-82,0,0,2.94,2.94,0,0,61.84,1.96,0,2.94,10.8,3.93,0,0.98,0,0,0,0.98,0,900.18,0,0.98,18.65,78.53,0.98,1.96,0,2.94,3.93,0,0,7.85,0.98,2.94,77.55,3.93,0
 84-94,0,0,1.06,9.56,2.12,0,80.71,0,3.19,3.19,4.25,0,0,1.06,2.12,0,1.06,1.06,0,604.3,0,1.06,9.56,38.23,0,0,1.06,0,3.19,0,0,4.25,1.06,4.25,77.53,2.12,1.06
 96-106,0,0,0,16.39,3.28,0,64.48,0,3.28,2.19,16.39,9.84,1.09,0,3.28,0,0,0,1.09,834.93,2.19,3.28,24.04,81.96,0,0,0,4.37,6.56,1.09,0,1.09,0,4.37,87.43,7.65,0
108-118,0,0,0,3.06,0.77,0.77,20.68,0,0.77,1.53,8.43,3.06,0,0.77,0.77,1.53,0,0.77,0.77,801.2,0,2.3,16.85,39.83,0,0,1.53,2.3,2.3,0.77,0,0,0,2.3,77.36,1.53,0
120,0,0,0,7.84,3.92,0,37.24,0,0,1.96,7.84,5.88,1.96,3.92,1.96,0,1.96,1.96,1.96,703.56,1.96,5.88,19.6,60.75,1.96,0,0,0,1.96,1.96,0,0,3.92,3.92,58.79,7.84,0
