stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,935.63,15510.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,496.5,7196.19,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,251.32,18.39,0,0,55.17,122.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,110.41,176.12,368.02,0,0,0,491.57,0,0,0,0,0,149.84,0,0,0,0,0,0,0,0,0,0,0,4481.96,118.29,0,0,1798.04,10.51,26.29,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,166.79,239.17,0,25.18,0,453.16,0,0,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,0,4220.09,56.65,0,0,1737.13,12.59,25.18,9.44,157.35,0,0,22.03,0,0,0,0,0
 14-21,0,1,21,188,74,0,113,0,0,0,50,10,1,2,0,9,0,0,4,1,111,0,0,97,1973,57,2,19,65,10,0,204,9,0,127,740,0,0,5,0,2
 24-34,0,0,9.85,42.68,32.01,0,340.66,0,2.46,0,49.25,4.93,0,1.64,4.93,4.1,2.46,1.64,4.1,1.64,185.51,0.82,0,66.49,1851.85,6.57,6.57,18.06,0.82,19.7,0,0.82,0.82,0.82,11.49,514.68,0,0,22.98,0,4.93
 36-46,0,0,0.81,16.92,8.86,0,497.9,0,0,0,36.26,3.22,0,0,1.61,0,0.81,3.22,2.42,0.81,138.58,1.61,4.03,41.09,964.39,2.42,3.22,3.22,0,9.67,0,0,1.61,0,0,274.73,0,0,9.67,0,2.42
 48-58,0,0,0.57,13.77,10.33,0,477.41,0,0.57,0,31.56,1.15,0,0.57,1.72,1.15,2.87,3.44,2.3,0.57,131.98,0.57,7.46,22.95,377.56,0.57,0.57,3.44,0,2.3,0.57,0,0,0,0,81.48,0,0,6.31,0,4.02
 60-70,0.98,0,0,16.69,0.98,0,277.77,0,0,0.98,35.33,4.91,0,0,0.98,0,0,3.93,1.96,0,81.47,0.98,9.82,15.7,167.84,0,2.94,3.93,0,4.91,0,0,0.98,0,0,15.7,0,0.98,6.87,0,0.98
 72-82,0,0,0,14.72,2.94,0,124.67,1.96,0.98,0.98,42.21,5.89,0,0.98,0.98,1.96,0.98,0.98,1.96,0,93.26,1.96,1.96,13.74,162.96,0,2.94,2.94,0,4.91,0,0,0.98,0,0,4.91,2.94,0,4.91,0,0
 84-94,0,0,0,18.05,8.5,0,111.51,0,0,0,24.43,9.56,0,1.06,7.43,3.19,0,1.06,1.06,1.06,78.59,0,6.37,13.81,140.19,1.06,1.06,4.25,0,2.12,0,0,1.06,0,0,5.31,1.06,0,7.43,1.06,0
 96-106,0,0,0,12.02,7.65,0,71.04,0,0,1.09,24.04,9.84,0,2.19,4.37,1.09,2.19,1.09,2.19,0,52.46,1.09,5.46,5.46,109.28,2.19,3.28,7.65,0,1.09,0,0,1.09,0,0,4.37,0,0,6.56,0,0
108-118,0,0,0,14.55,16.85,2.3,70.47,0.77,0.77,1.53,27.57,4.6,0,0,13.02,1.53,2.3,1.53,6.13,0,42.89,0.77,3.06,16.09,137.87,0.77,0.77,4.6,0,3.83,0,0,3.06,0,0,2.3,1.53,0,6.89,0,0.77
120,0,0,0,17.64,15.68,0,54.87,0,0,1.96,15.68,5.88,0,0,9.8,0,1.96,1.96,0,0,27.44,0,0,9.8,123.47,3.92,0,3.92,0,1.96,0,0,0,0,0,5.88,1.96,0,5.88,0,0
