stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0,13.95,0,4.1,14.78,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0.81,0.81,0.81,0,0,0,17.72,0,3.22,31.42,0.81,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,8.61,0,0,4.02,2.3,0,0,0,28.69,0.57,6.31,58.53,0,0,1.15,0,0,0,0,0,0,0,12.05,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,56.93,0.98,0,4.91,2.94,0,0.98,0,56.93,0.98,4.91,97.17,0,0.98,0,0,0,0.98,0,0,0.98,0,7.85,0,0,3.93,0,0
 72-82,0,0,0,0,0,0.98,128.6,1.96,0,2.94,4.91,0,0,0,93.26,4.91,8.83,79.51,0,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0.98,4.91,1.96,0
 84-94,0,0,0,0,0,0,61.6,2.12,0,2.12,4.25,0,1.06,0,38.23,3.19,8.5,49.92,0,0,0,0,1.06,1.06,0,0,3.19,0,0,1.06,0,3.19,6.37,0
 96-106,0,0,0,0,4.37,1.09,45.9,9.84,0,0,6.56,0,0,1.09,53.55,3.28,12.02,33.88,0,0,0,0,0,2.19,0,0,0,0,3.28,0,0,4.37,1.09,1.09
108-118,0,0,0.77,0,3.83,0.77,38.3,9.96,0,2.3,4.6,0,0.77,0,52.09,0.77,12.26,30.64,0,0.77,0,0,1.53,1.53,0,0.77,2.3,0,0,0.77,0,3.83,0.77,0
120,0,0,0,0,5.88,0,41.16,17.64,0,1.96,5.88,0,0,0,54.87,0,5.88,41.16,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,3.92,1.96,0
