stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,4,23,0,1,0,0,0,11,0,0,9,12,0,0,1,0,1
 24-34,0,0,0.82,0.82,1.64,0.82,4.93,0,0,0,0,0,0,0.82,1.64,0,0,0,0,4.93,0,0,1.64,46.79,0,4.93,0.82,0,0,7.39,0.82,0,8.21,7.39,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0.81,3.22,0,0,2.42,0,0,3.22,2.42,0,0,1.61,0,0.81,6.45,0,0,1.61,62.84,0,12.89,0,0,0,5.64,0.81,0,0,7.25,0,0,4.03,0,0
 48-58,0,0,0,0,1.15,0.57,9.75,2.3,0,1.15,0,2.87,0.57,2.3,0,0,1.15,0,0.57,7.46,0.57,1.15,0.57,53.36,0.57,9.18,1.15,0,0,5.16,0,0.57,0,6.31,0,0,4.59,0,0
 60-70,0,0,0,0,2.94,0.98,54.97,0.98,0,5.89,0,1.96,3.93,12.76,0,0.98,0.98,0,3.93,21.59,0,0,0.98,104.04,0.98,18.65,0.98,0,0,4.91,0,0,0,2.94,0,1.96,7.85,0,0
 72-82,0,0,0,0,6.87,2.94,181.61,2.94,1.96,17.67,3.93,0,3.93,15.71,0,0,0.98,0,0.98,15.71,0.98,0,1.96,311.19,0,32.39,0.98,0,0.98,5.89,0,0,0,17.67,0,3.93,8.83,2.94,0.98
 84-94,0,0,0,0,7.43,3.19,73.28,1.06,1.06,16.99,2.12,1.06,2.12,18.05,0,1.06,2.12,0,3.19,16.99,0,0,0,166.74,0,16.99,0,0,0,6.37,0,0,0,6.37,2.12,3.19,5.31,0,2.12
 96-106,0,0,0,0,8.74,5.46,107.1,1.09,0,14.21,1.09,0,7.65,29.51,0,2.19,0,0,1.09,24.04,1.09,0,0,170.48,0,43.71,0,0,1.09,8.74,1.09,1.09,0,7.65,0,4.37,7.65,1.09,0
108-118,0,0,0,0,8.43,1.53,84.26,1.53,0,11.49,1.53,0,1.53,38.3,0,0,1.53,1.53,1.53,17.62,0,0.77,0.77,218.3,0,19.92,0.77,0,0.77,3.83,0,0,0,5.36,1.53,1.53,9.96,0,0.77
120,0,0,0,0,19.6,0,56.83,0,1.96,13.72,0,0,3.92,35.28,0,1.96,1.96,1.96,0,9.8,0,3.92,0,209.7,0,17.64,0,0,1.96,1.96,0,0,0,1.96,0,5.88,3.92,0,0
