stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,75.53,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,11,1,0,101,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,927,0,0,0,1,2,0,1,0,2,38,0,0,0,0,0
 24-34,0,0.82,0,7.39,1.64,0,121.49,0,0,0,15.6,0,0.82,0,0.82,0,0.82,1.64,3.28,0,5.75,0.82,0.82,3.28,1214.87,0.82,1.64,2.46,0,4.93,0,0,0,2.46,117.38,0,0,3.28,0,0
 36-46,0,0,0,2.42,0,0,76.54,1.61,0,0,79.76,0,0,0.81,0,0,0,0,0,1.61,8.86,0,0,0.81,989.36,0,1.61,0,0,4.83,0,0.81,0,0,146.63,0,0,1.61,0,1.61
 48-58,0,0,0,4.59,0,0,91.81,0.57,0,0,133.12,0,0,0.57,0.57,0,0,0,0,0,6.89,0,0,2.3,440.68,0,1.15,0.57,0,1.72,0.57,0,0,0,106.73,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,72.63,0,0,0,122.69,0,0,0,0,0,0,0,0,0,3.93,0,0,0,180.6,0,0,0.98,0,1.96,0,0,0.98,0,19.63,0,0,0,0,0
 72-82,0,0,0,7.85,0,0,89.33,0,0.98,0.98,160.99,0,0,0,0,0,0,0,0.98,0,8.83,0,0,3.93,160.99,0,1.96,0,0,0,0,0,0,0,7.85,0,0,0.98,1.96,0
 84-94,0,0,0,5.31,0,0,158.24,0,1.06,1.06,125.32,1.06,0,0,1.06,1.06,0,0,0,0,3.19,0,1.06,1.06,118.95,0,0,1.06,0,0,0,0,2.12,0,3.19,0,0,0,0,0
 96-106,0,1.09,0,3.28,0,1.09,139.88,0,0,0,132.23,0,0,1.09,0,1.09,1.09,0,0,0,8.74,0,0,2.19,121.31,0,1.09,0,0,2.19,0,0,0,0,2.19,1.09,1.09,1.09,0,1.09
108-118,0,0,0.77,2.3,0,0.77,126.38,0.77,0.77,0.77,124.85,0,0,0,0,0,0,0.77,0,0,5.36,0,0.77,0.77,156.26,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,9.8,1.96,0,54.87,0,1.96,0,143.06,0,0,0,0,0,0,0,0,0,0,0,0,1.96,127.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
