stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,5.26,0,39.43,0,2.63,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,65.72,21.03,0,0,155.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,3.15,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,59.79,56.65,0,0,185.67,0,0,0,34.62,0,0,0,0,0,0,0
 14-21,0,1,0,3,3,7,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,3,0,6,19,4,0,0,2,0,0,91,3,1,41,24,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,3.28,0,5.75,0,14.78,0,0.82,0,0,0,0,0,0,0,0,0,1.64,143.65,0,3.28,1.64,0,0,0.82,0,0.82,0.82,0.82,56.64,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,5.64,0,0.81,0,9.67,0,0,0,0,0,0,0,0,0,0.81,0,0,412.5,0.81,7.25,0.81,0,0,0.81,0,3.22,0,0,96.68,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,47.63,0.57,0.57,0,14.35,0,0,0,0.57,0,0,0,0,0.57,4.59,0.57,1.15,627.74,0,6.31,0.57,0,0,0.57,0,0.57,0,0,79.19,0,0.57,0,1.15
 60-70,0,0,0,0.98,1.96,0.98,0,199.25,0,1.96,0,19.63,0,0,0,0,0,0.98,0,0,0.98,9.82,0,0.98,1153.29,0,7.85,4.91,0,0,0.98,0,2.94,0,0,111.89,0,0,0.98,0.98
 72-82,0,0,2.94,1.96,9.82,0.98,0,339.65,0,0.98,0.98,44.17,1.96,0,0,0,0,0,0.98,0,0.98,21.6,0.98,0.98,936.51,0,10.8,8.83,0,0,0,0,1.96,0.98,0,65.77,0,0.98,1.96,0.98
 84-94,0,0,2.12,0,8.5,4.25,0,210.28,1.06,1.06,0,27.61,1.06,0,0,1.06,0,1.06,2.12,0,3.19,9.56,2.12,0,456.68,0,4.25,10.62,0,0,2.12,0,0,0,0,30.8,1.06,0,0,0
 96-106,0,0,1.09,0,4.37,0,1.09,166.11,1.09,0,0,29.51,2.19,0,1.09,1.09,1.09,1.09,2.19,2.19,1.09,16.39,1.09,2.19,405.45,0,8.74,9.84,0,1.09,0,0,8.74,0,0,25.14,2.19,2.19,1.09,2.19
108-118,0,0,1.53,0.77,3.83,0.77,0,139.41,0,3.06,0,18.38,0,0,0,0,0.77,1.53,1.53,0,2.3,9.19,3.06,0.77,431.24,0,6.89,10.72,0,0,1.53,0,3.83,0,0,10.72,0,0,0,0
120,0,0,0,0,9.8,3.92,0,129.35,0,0,0,15.68,0,0,0,1.96,0,0,1.96,0,1.96,9.8,1.96,1.96,550.7,0,13.72,7.84,0,0,0,0,1.96,0,0,17.64,3.92,1.96,1.96,1.96
