stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,1.61,6.45,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,2.87,0,0,0,4.59,5.74,0,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,9.82,4.91,0,1.96,0,0.98,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,0,0.98,1.96,0,0,0,0,77.55,8.83,1.96,5.89,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,1.06,0,0,0,0,361.09,7.43,1.06,8.5,1.06,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,2.19,0,6.56,0,0,2.19,3.28,0,1.09,1.09,0,512.55,6.56,2.19,52.46,0,1.09,0,0,1.09,3.28,1.09,1.09,4.37,1.09
108-118,0,0,1.53,2.3,1.53,3.06,0.77,0.77,3.06,3.06,0,0,0.77,0.77,1191.84,5.36,0,40.6,0,0,0,0,0,2.3,0.77,0,0.77,0
120,0,0,1.96,1.96,0,5.88,0,0,5.88,0,0,0,0,0,627.13,0,0,35.28,0,0,1.96,0,0,3.92,0,0,0,0
