stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,7,1,1,0,1,0,0,0,0,0,1,0,0,1,14,0,0,1,1,0,3,2,0,1,6,0
 24-34,0,0,0.82,0,2.46,0,0.82,0,0,0.82,0,0,0.82,0,0,0,11.49,0,0,0,0,2.46,0,0,0,0,3.28,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,4.83,0,0.81,0,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0,4.59,0,0.57,0,0,0,0,0.57,1.15,0,0,0.57,4.59,0,1.15,0,0,1.15,0,0,0,0,2.87,0
 60-70,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0.98,0,0,0,6.87,0,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,4.91,0,1.96,0,0,0,0.98,0.98,6.87,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,0,0,0,0,1.06,0,2.12,0,0,0,3.19,1.06,0,0,0,6.37,0,0,0,0,1.06,0
 96-106,0,0,2.19,0,1.09,0,1.09,1.09,2.19,0,1.09,0,4.37,0,0,0,3.28,0,2.19,1.09,0,7.65,0,0,0,0,2.19,2.19
108-118,0,0,0.77,0,4.6,0.77,1.53,0.77,3.83,0,2.3,0,4.6,0.77,0,0,5.36,0,0,0,0,3.06,0,0,0,0,0,2.3
120,1.96,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,5.88,0,0,0,0,0,1.96
