stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0
 24-34,0,1.64,0,0.82,0,0.82,0,2.46,2.46,8.21,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,2.42,1.61,10.47,0,0,0,0,1.61,0,0
 48-58,0,0.57,0,3.44,0,0,0.57,2.87,2.3,9.75,0,0,0,0,2.87,0,0
 60-70,0,0,0,7.85,0,0.98,0,2.94,0,13.74,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,2.94,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,3.19,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0,0,2.3,0,2.3,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
