stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,12.59,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,1,0,0,2,11,0,0,0,0,0
 24-34,0.82,0,0,1.64,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,2.46,40.22,0,0.82,0,0,1.64,0,0,0,0,0.82,11.49,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,3.22,25.78,0,0,0,0,0,0.81,0,0.81,0,0,12.89,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,9.18,0.57,0,0,1.72,0,0,0,0,0,0,0,0,2.3,0,0,1.15,35,0,0,0,0,0,0,0,0,1.15,0,7.46,0,0,2.3,0,1.15
 60-70,0,0,0,1.96,0,0,42.21,1.96,0,0,0,0,0,0.98,0,0.98,0,0,0,8.83,0,0,1.96,60.85,0.98,0.98,0,0,0.98,0,0,0,0,0,9.82,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0.98,0,48.1,0.98,0,0,10.8,0,0,1.96,0.98,0.98,0,0,0,13.74,0,0,1.96,96.2,0,0,0.98,0,1.96,0,0,0,0,0,14.72,0,0,1.96,0.98,0
 84-94,0,0,1.06,5.31,3.19,0,39.3,2.12,0,1.06,12.74,0,0,2.12,0,1.06,1.06,0,0,9.56,1.06,0,4.25,64.78,0,0,1.06,0,2.12,0,0,0,1.06,0,7.43,0,2.12,1.06,0,1.06
 96-106,0,0,0,2.19,1.09,0,48.09,2.19,1.09,1.09,15.3,0,1.09,1.09,0,0,0,1.09,1.09,8.74,0,1.09,2.19,69.94,0,0,2.19,0,4.37,0,0,0,2.19,0,5.46,1.09,0,1.09,0,0
108-118,0,0,0,9.96,1.53,4.6,42.89,0,0.77,3.06,11.49,0,0,0,1.53,1.53,0,0.77,1.53,17.62,0,0,2.3,79.66,0,0,3.06,0,1.53,0,0,0,2.3,0,3.83,0.77,0,1.53,1.53,0.77
120,0,0,0,11.76,3.92,0,52.91,1.96,1.96,0,15.68,0,0,0,0,0,0,0,1.96,15.68,0,1.96,5.88,148.94,0,3.92,0,0,5.88,0,0,1.96,1.96,0,7.84,0,0,0,1.96,3.92
