stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,30,8,0,29,0,0,0,5,1,0,1,1,0,0,0,1,19,0,10,211,1,0,0,5,0,0,1,39,7,1,35,70,0,0,4,0,1
 24-34,0,0,8.21,0,0,34.48,0,0.82,0.82,8.21,0,0.82,1.64,2.46,0,0,0,1.64,20.52,0,15.6,283.2,1.64,0.82,4.1,0,0,3.28,0,0,1.64,2.46,16.42,76.34,0,0,5.75,0,1.64
 36-46,0,0,2.42,0.81,0,34.64,0.81,0,1.61,12.89,2.42,0,0.81,0,1.61,0,0,1.61,20.14,0,5.64,249.76,0.81,4.83,2.42,0,0,8.06,0,0,1.61,0,0,50.76,0,0,4.03,0,1.61
 48-58,0,0,4.59,0.57,0,46.48,0.57,1.72,0,15.49,1.15,0,1.15,0,1.72,0,0,1.15,36.15,1.15,5.74,196.24,0.57,1.72,1.72,0,0,2.87,0,0,1.72,0.57,0,35.58,0,0,3.44,0,1.15
 60-70,0,0,3.93,0,0,72.63,1.96,0.98,0.98,22.58,0,0,1.96,1.96,0,0,2.94,0,26.5,1.96,2.94,209.06,0.98,2.94,2.94,0,0,0,0,0,0.98,1.96,0,16.69,0,0,2.94,0.98,1.96
 72-82,0.98,0,3.93,0.98,0.98,97.18,0,0,0.98,30.43,0.98,0.98,0.98,1.96,1.96,1.96,1.96,0,29.45,0,6.87,201.24,0,0.98,1.96,0,0.98,1.96,0,0,0,0,0,9.82,0.98,0,2.94,0.98,0
 84-94,0,0,5.31,1.06,0,67.97,1.06,2.12,1.06,18.05,4.25,1.06,3.19,3.19,1.06,1.06,2.12,0,15.93,2.12,9.56,111.51,1.06,2.12,3.19,0,0,5.31,0,0,6.37,0,0,5.31,0,2.12,2.12,0,0
 96-106,2.19,0,2.19,1.09,0,33.88,0,0,0,15.3,4.37,0,3.28,2.19,0,1.09,4.37,0,13.11,0,6.56,83.06,1.09,4.37,7.65,0,0,7.65,0,0,1.09,0,0,4.37,1.09,1.09,1.09,2.19,3.28
108-118,0,1.53,3.83,2.3,0,45.96,1.53,0,1.53,6.13,6.89,0,1.53,3.83,0,0.77,4.6,0,9.19,0.77,3.83,91.92,0,1.53,4.6,0,0,3.83,0,0,1.53,1.53,0,1.53,0,0.77,3.83,0.77,0
120,0,0,7.84,3.92,0,31.36,1.96,0,0,15.68,7.84,1.96,9.8,0,1.96,0,1.96,0,15.68,0,5.88,127.39,0,1.96,5.88,0,1.96,9.8,0,0,3.92,0,0,3.92,0,0,3.92,0,0
