stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,15,6,2,0,0,3,0,0,10,0,1,8,9,0,0,1,0,0
 24-34,0,0,0,9.03,0.82,0,8.21,2.46,4.93,5.75,0,0,4.1,0,0,1.64,0.82,0,0,124.77,0,0.82,59.1,47.61,9.85,0.82,2.46,0,0,0,0,0,35.3,20.52,19.7,0,0,11.49,0,0.82
 36-46,0,0,0,12.89,1.61,0,4.83,2.42,2.42,9.67,2.42,0,1.61,0,0,4.03,1.61,0,0,200.61,0,5.64,50.76,41.89,6.45,1.61,0,0,0,1.61,0.81,0,16.11,0,14.5,0,0.81,18.53,0,0
 48-58,0.57,0,0,6.31,0.57,0,9.75,5.74,5.74,9.18,7.46,0,2.3,0,0,3.44,1.15,0.57,0,254.2,0.57,8.03,40.74,59.1,2.3,0,4.02,0,0.57,1.15,0,0,11.48,0,13.2,0,2.3,14.35,0.57,0
 60-70,0.98,0,0,21.59,0,0,17.67,6.87,11.78,7.85,10.8,0,3.93,0,0,11.78,0.98,0,1.96,405.37,0.98,20.61,42.21,47.11,5.89,0.98,4.91,0,5.89,0.98,0,0.98,13.74,0,11.78,0,8.83,13.74,6.87,0
 72-82,0,0,0,19.63,1.96,0,25.52,3.93,4.91,17.67,31.41,0,7.85,0,0.98,9.82,4.91,0,0,491.81,0,16.69,43.19,44.17,5.89,0.98,4.91,0,3.93,0.98,0,0.98,5.89,0,6.87,0,20.61,28.47,14.72,0.98
 84-94,0,0,1.06,30.8,2.12,0,32.92,3.19,15.93,11.68,15.93,0,2.12,2.12,1.06,18.05,3.19,0,4.25,275.07,2.12,14.87,23.36,25.49,4.25,1.06,8.5,0,1.06,2.12,0,0,7.43,0,7.43,0,13.81,26.55,13.81,0
 96-106,0,0,0,19.67,0,0,25.14,3.28,5.46,6.56,20.76,3.28,5.46,1.09,1.09,17.49,1.09,1.09,2.19,263.38,1.09,17.49,21.86,38.25,4.37,5.46,8.74,0,10.93,2.19,0,1.09,7.65,0,4.37,1.09,13.11,26.23,13.11,1.09
108-118,0,0,0,45.96,1.53,0,27.57,4.6,16.09,14.55,19.92,2.3,3.83,0,0,30.64,4.6,1.53,0.77,274.21,0,17.62,25.28,39.06,6.89,1.53,13.02,0,7.66,1.53,0,1.53,4.6,0,3.83,0,10.72,17.62,11.49,0.77
120,1.96,0,0,105.83,0,1.96,41.16,7.84,31.36,1.96,23.52,5.88,1.96,0,1.96,33.32,3.92,3.92,1.96,317.49,0,25.48,37.24,62.71,21.56,1.96,19.6,0,9.8,1.96,1.96,0,3.92,0,7.84,0,23.52,29.4,15.68,0
