stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1818.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,858.15,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,10.51,0,49.95,0,0,0,120.92,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,749.18,28.92,0,0,262.87,0,2.63,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,37.76,0,66.09,0,9.44,0,116.44,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,733.24,18.88,0,0,280.08,0,12.59,3.15,6.29,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,5,24,4,0,12,0,0,0,10,2,0,0,0,0,0,0,0,15,0,0,18,262,5,2,0,8,0,6,0,25,1,32,97,0,0,1,0,1
 24-34,0,0,0,0,9.85,1.64,0,57.46,0,0,0.82,6.57,1.64,0,0.82,0.82,0.82,2.46,0.82,0.82,34.48,0,0,10.67,405.5,3.28,1.64,5.75,0,0,10.67,0,0,0,0.82,68.95,0,0,5.75,0,0
 36-46,0,0,0,0,3.22,0.81,0,100.71,0,0,0,9.67,0.81,0,0,0,0.81,0,0.81,0,26.59,0,0.81,8.06,240.09,0,4.83,0.81,0,0.81,3.22,0,0,1.61,0,56.4,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,89.51,0.57,0.57,1.15,8.61,0.57,0,0,1.15,0,0,1.15,0,39.59,0,2.3,4.02,118.2,0,1.15,1.15,0,0,0.57,0,0,0,0,28.69,0,0,2.3,0,1.15
 60-70,0,0,0,0,1.96,0,0,79.5,0,0.98,0,22.58,1.96,0,0,0,0,1.96,0.98,0.98,22.58,0,1.96,3.93,81.47,0,0,0.98,0,0,0,0,0,0.98,0,11.78,0,0,0.98,0,0
 72-82,0,0,1.96,0,4.91,0,0.98,45.16,0,0,0.98,16.69,0,0,0.98,0.98,0.98,0,0,0,25.52,0.98,0,4.91,87.37,0,0.98,1.96,0,0,1.96,0,0,0.98,0,2.94,0,0,1.96,0,0.98
 84-94,0,0,0,0,7.43,3.19,0,43.54,0,0,0,14.87,1.06,0,0,0,0,3.19,0,0,31.86,1.06,0,7.43,55.23,1.06,0,4.25,0,0,3.19,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,1.09,0,2.19,2.19,0,36.06,0,3.28,0,14.21,2.19,0,0,0,1.09,1.09,3.28,0,25.14,0,0,3.28,46.99,0,2.19,3.28,0,1.09,4.37,0,0,1.09,0,5.46,1.09,0,1.09,0,0
108-118,0,0,0,0,3.83,2.3,0,32.94,0,0,0.77,21.45,0,0,0.77,1.53,0.77,0,0,0,22.98,0.77,0.77,4.6,62.81,0,0.77,4.6,0,0,8.43,0,0,0,0,0.77,0,0.77,2.3,0,2.3
120,0,0,0,0,9.8,3.92,0,21.56,0,0,1.96,17.64,0,0,0,0,0,1.96,0,0,21.56,0,3.92,0,76.43,1.96,0,3.92,0,0,1.96,0,0,3.92,0,3.92,0,0,0,1.96,0
