stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1,7,2,0,1,1,0,49,1,0,0,0,0,0,0,3,0,2,987,1,0,1,0,0,2,389,0,0,0
 24-34,0,3.28,0,0,9.85,0.82,0,51.71,0,0,0.82,0,0,0,0.82,7.39,0,2.46,2366.53,0,0,5.75,1.64,0,1.64,617.28,0,4.93,0
 36-46,0,0,0,0,10.47,0,0,41.09,0,0.81,0,0,0,0,0,4.03,0,0,1106.99,0,1.61,3.22,0,0.81,0,500.32,0,0.81,0
 48-58,0,0,0,0,10.33,0,0,67.14,0,0,0,0,0,0,0,2.3,0,1.15,347.15,0.57,0,1.15,0,0,0,235.26,0,0,0.57
 60-70,0,0,0,0,9.82,0,0.98,67.73,0,0,0,0,0,0.98,0,0,0,0,206.12,0,0,0,0,0,0,106.99,0,0,0
 72-82,0,1.96,0.98,0,18.65,0,0,114.85,0,0,0,0,0,0,0,4.91,0.98,0,173.75,0,0,0,0,0,0,57.92,0.98,0.98,0
 84-94,0,1.06,0,0,21.24,0,0,83.9,0,0,0,1.06,0,0,0,6.37,0,1.06,111.51,0,0,1.06,0,0,0,40.36,0,0,0
 96-106,0,4.37,0,0,15.3,1.09,0,89.61,0,0,0,0,1.09,1.09,0,0,0,0,97.26,0,0,0,0,0,0,12.02,0,0,0
108-118,0,0.77,0,0.77,4.6,0,0,97.28,0.77,0,0.77,0.77,0,0,0,2.3,0,0,111.06,0,0,0.77,0,0,0,15.32,0,0.77,0
120,0,1.96,0,1.96,5.88,0,0,58.79,1.96,0,0,0,0,0,0,1.96,0,1.96,90.15,0,0,1.96,0,0,0,11.76,0,0,0
