stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,31.54,5.26,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,62.94,3.15,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,3,0,0,3,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,15.6,0,1.64,0,0,0,0.82,0.82,4.1,0,0
 36-46,0,0,0,0,1.61,1.61,0,0,0,0,0,0,0,4.83,0,0,21.75,0,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,6.31,0,2.3,0,0,0,0,0,0,2.3,0.57,0.57,22.38,0,0.57,0,0,0,0,0,3.44,0,0
 60-70,0,0,0.98,0,10.8,0,0.98,0.98,0,0,0.98,0.98,0,4.91,0,0,27.48,0,0,0,0.98,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,8.83,0,5.89,0,0,0,0,0,0.98,3.93,0,1.96,26.5,0,0,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,0,0,0,3.19,0,5.31,0,0,0,0,0,0,5.31,0,0,10.62,0,1.06,0,0,0,1.06,0,2.12,0,1.06
 96-106,0,0,1.09,0,6.56,0,10.93,0,0,0,0,0,0,8.74,0,0,28.41,0,0,0,0,0,0,0,0,0,3.28
108-118,0,0,0.77,0,0.77,0,2.3,0,0,0.77,0,0,0,1.53,0,0,10.72,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
