stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,7.89,5.26,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,1.64,1.64,2.46,0,0.82,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,2.94,0,8.83,0,0,0.98,0,3.93,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,9.82,0,0,0,0,2.94,0,19.63,0.98,0,1.96,0,6.87,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,2.12,1.06,12.74,1.06,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,5.46,0,0,0,0,2.19,0,27.32,1.09,0,1.09,0,4.37,0,0,0,0,1.09,0,0,0,0
108-118,0,0,6.89,0.77,0,0,0.77,1.53,0,32.94,0.77,0,1.53,0,6.89,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,1.96,0,15.68,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0
