stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,92,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,26,0,0,5,12,0,1,0,1,4,5,0,2,5,0,0,0,0,0
 24-34,0,0,0,32.01,0,0,5.75,0,1.64,0.82,1.64,2.46,0,0,0,0,0,0.82,0,0,18.88,0,0,6.57,76.34,0,0,0,0,13.13,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0,18.53,0,0,5.64,0,3.22,0.81,0,0,0,0,0,1.61,0,0.81,0,0,20.14,0.81,1.61,4.03,143.41,0.81,0.81,0,0,20.95,0,0,0,12.09,0,0,0,0,0
 48-58,0,0,0,26.4,0.57,0,6.89,0,9.75,0,5.16,0,0.57,1.15,0,1.72,0,0,0,0.57,9.75,2.3,0,1.15,93.53,0,1.15,0.57,0,21.23,0,0.57,0,8.03,0,0,1.15,0,0.57
 60-70,0,0,0,11.78,0,0,10.8,0,4.91,0.98,7.85,0.98,0.98,0,0.98,1.96,0.98,0.98,0,0,6.87,0.98,1.96,0,71.65,0.98,1.96,0.98,0,14.72,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,13.74,2.94,0,9.82,0.98,2.94,1.96,1.96,0.98,0,0,0.98,1.96,0,0.98,0.98,0,8.83,0.98,1.96,0.98,84.42,0,0,1.96,0,10.8,0,0,0,2.94,15.71,0.98,1.96,0,0
 84-94,0,0,0,28.68,0,0,1.06,0,18.05,4.25,2.12,4.25,0,1.06,0,5.31,0,3.19,0,0,4.25,0,1.06,1.06,78.59,0,1.06,2.12,0,29.74,0,0,0,2.12,76.47,0,1.06,1.06,0
 96-106,0,0,0,56.83,1.09,1.09,13.11,1.09,7.65,0,4.37,15.3,0,0,1.09,6.56,0,2.19,5.46,0,15.3,2.19,1.09,2.19,65.57,0,0,0,0,48.09,0,0,0,2.19,160.65,0,1.09,0,0
108-118,0,0.77,0,42.89,0.77,0,7.66,0,16.09,3.06,2.3,9.19,0,0,3.06,4.6,0,1.53,0.77,0,9.19,4.6,0.77,1.53,46.72,0,0.77,0,0,54.38,0,0,0,0,182.3,0,1.53,0,0.77
120,0,0,0,41.16,1.96,0,0,0,9.8,1.96,5.88,3.92,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,1.96,39.2,1.96,0,0,0,23.52,0,0,0,0,56.83,0,0,0,0
