stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5,2,5,0,0,0,26,0,0,3,3,29,0,0,2,0,3,0,1,5,11,0,0,0,0
 24-34,0,2.46,0,1.64,0,1.64,0,93.58,0,0.82,0,0,16.42,0,0,0,0,0,0,0,0,4.1,0,1.64,0,0
 36-46,0,0.81,0,0.81,0,1.61,0,103.13,0,0,0.81,0.81,11.28,0,0,0,0,0,0,0,0,6.45,0,1.61,0,0.81
 48-58,0,0,0,2.87,0,2.3,0,90.66,0,0.57,5.16,0,9.75,0,0,0,0,0,0,0,0,0.57,0.57,6.31,0,0
 60-70,0,0,2.94,5.89,0.98,3.93,0,111.89,0,0,1.96,0.98,4.91,0,0,0,0,0,0,0,0,0,0,9.82,0,0
 72-82,0,0.98,1.96,2.94,0,2.94,0,181.61,0,0,9.82,0,0.98,0,0.98,0,0.98,0,0.98,0,0,0,0,18.65,0,0
 84-94,1.06,0,4.25,1.06,0,0,0,238.96,0,0,2.12,1.06,3.19,0,0,0,0,0,0,0,0,0,0,14.87,0,0
 96-106,0,0,4.37,4.37,0,4.37,0,291.79,1.09,1.09,3.28,0,6.56,1.09,0,0,0,0,0,0,0,0,0,32.79,0,0
108-118,0,0.77,6.89,2.3,0,0.77,0.77,206.81,0,0,2.3,0,2.3,0,0,0,0,0,0,0,0,0,0,19.15,0,0
120,0,0,7.84,1.96,0,0,0,278.29,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,23.52,1.96,0
