stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,9.03,0,0,1.64,0,0.82,0,0,0,0,0,0.82,0,0,9.85,0,0.82,1.64,5.75,0,1.64,0.82,0,0,9.85,0.82,0,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0.81,0.81,0,1.61,0,1.61,0.81,0,0,1.61,0,0,13.7,0.81,0,0.81,1.61,0,1.61,0.81,0,0,12.09,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0,0.57,0.57,2.3,0.57,0,0,0.57,0,0,0.57,0,0.57,17.21,0,0.57,0.57,4.59,0,2.3,0,0,0,4.59,0,2.3,0,0.57,1.15,0,0.57
 60-70,0,0,0,0,7.85,0,0,0.98,0.98,3.93,0,0,0.98,0,0,1.96,0,0,31.41,0,0,0.98,6.87,0,2.94,0,0,0.98,9.82,0,0,0,0,5.89,0,0
 72-82,0,0,2.94,0.98,9.82,0,0.98,1.96,0.98,6.87,0.98,0.98,0,1.96,0,2.94,0,0,41.23,2.94,0,0.98,5.89,0.98,4.91,1.96,0,0,10.8,0,0.98,0,0,9.82,1.96,0.98
 84-94,0,0,0,0,11.68,0,3.19,5.31,2.12,3.19,0,3.19,5.31,2.12,0,3.19,0,0,30.8,0,2.12,1.06,5.31,0,0,0,0,0,40.36,0,2.12,1.06,0,8.5,0,0
 96-106,0,0,0,0,18.58,1.09,2.19,2.19,2.19,2.19,4.37,1.09,3.28,4.37,0,1.09,1.09,0,24.04,1.09,1.09,1.09,5.46,0,2.19,1.09,0,0,21.86,0,0,2.19,2.19,2.19,1.09,2.19
108-118,0,0,0.77,0,13.79,0,0,3.06,1.53,4.6,3.83,0,4.6,2.3,0.77,2.3,0,0.77,24.51,0.77,2.3,2.3,4.6,0,1.53,0.77,0,0,10.72,0,0,2.3,1.53,0.77,0,1.53
120,0,0,0,0,17.64,0,0,0,3.92,5.88,0,0,11.76,0,1.96,0,0,0,7.84,0,0,0,5.88,1.96,0,1.96,0,0,13.72,0,0,1.96,0,5.88,0,0
