stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,20.52,0,0,0,0.82,0.82,12.31,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0.81,0,0,0,0,0,0,6.45,2.42,84.6,0,0,0,0,0,26.59,0,0,0
 48-58,0,0,0,0,14.35,0,0,0.57,0,0,0,0,0,0,0,5.74,2.87,137.71,0,0,0,0,0,25.82,0,0,0
 60-70,0,0,0,0,120.73,0,0,0.98,0,0,0,1.96,0.98,0,0,14.72,2.94,350.4,0.98,0.98,0,0,0,32.39,0,0,0.98
 72-82,0,0,6.87,0,220.87,0,0.98,14.72,0.98,0,0.98,0,1.96,0.98,0,21.6,4.91,381.87,0,0,0,0.98,0,22.58,0,0.98,0
 84-94,0,0,3.19,0,132.75,0,0,9.56,0,1.06,0,0,1.06,0,1.06,14.87,5.31,177.36,0,1.06,0,1.06,0,12.74,0,0,0
 96-106,0,0,4.37,1.09,123.49,0,0,9.84,0,0,0,0,1.09,0,0,10.93,0,159.56,0,2.19,0,0,0,12.02,1.09,1.09,0
108-118,0,0.77,3.06,0.77,92.68,0,0.77,12.26,0.77,0,0,0.77,2.3,0,0,9.19,0.77,147.83,0,3.06,0,2.3,0,1.53,0.77,0.77,0
120,0,0,0,0,101.91,0,0,7.84,0,0,0,0,1.96,0,0,5.88,1.96,188.14,1.96,1.96,0,0,0,13.72,0,0,0
