stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,1,0,7,5,0,0,0,0
 24-34,0,1.64,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,69.77,4.93,0.82,0,0,6.57,18.88,0,0.82,0,0
 36-46,0,0,0,0.81,0,10.47,0,0,0,1.61,0,0.81,0.81,0,0,0,0,0.81,0,0,0.81,236.06,3.22,0,0,0,0.81,40.28,0,0.81,0,0.81
 48-58,0.57,0,1.15,0,0,35.58,0,0,0.57,2.3,0,0,0.57,0.57,0,0,0,0.57,2.3,0,0,219.19,2.87,0,0,0,1.15,49.92,0,1.15,0,5.16
 60-70,0,1.96,0.98,0,0,90.3,0,0,0,6.87,0,0,4.91,0,0.98,0,0,0,1.96,0,0,391.63,1.96,0,0,0,3.93,51.04,0,0.98,0,3.93
 72-82,0,1.96,0.98,0,0,77.55,0,0,0,16.69,0,0,0.98,0,1.96,0.98,0,0,0.98,0,0,234.62,5.89,0.98,0,0.98,3.93,25.52,0,2.94,0,3.93
 84-94,0,0,2.12,1.06,0,62.66,0,0,1.06,15.93,0,0,3.19,2.12,2.12,0,0,2.12,2.12,0,0,113.64,3.19,0,0,0,7.43,20.18,0,2.12,1.06,4.25
 96-106,0,1.09,3.28,0,0,37.16,1.09,0,0,8.74,0,0,4.37,0,2.19,1.09,0,1.09,1.09,1.09,0,95.08,3.28,0,0,0,10.93,8.74,0,1.09,0,8.74
108-118,0,0,1.53,0,1.53,35.23,0,0,0,8.43,1.53,0,3.06,0,2.3,0.77,0,0,3.06,0.77,0,127.15,2.3,2.3,0,0,3.83,1.53,0.77,1.53,0,6.13
120,0,0,0,0,0,37.24,0,1.96,0,11.76,0,0,7.84,1.96,7.84,0,0,0,0,0,0,84.27,0,3.92,0,0,13.72,0,0,1.96,0,1.96
