stage,blastomeres,epidermis,eye,fin.epithelia,glial,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  5-6,12.26,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,3.15,0,0,15.73,0,6.29,0,0
 14-21,0,2,0,0,0,3,0,0,0,1
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0.81,0,0,2.42,0.81,0,0,0
 48-58,0,0,1.15,0,0,1.72,0,0,1.15,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,1.06,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,0,0,0
108-118,0,0,0,0.77,2.3,0.77,0,0,0.77,0
120,0,0,0,0,5.88,5.88,0,0,0,0
