stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,34.62,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,261.2,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,98,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,12,0,0,7,66,0,2,9,0,0,1,2,1,1,11,0,0,0,0
 24-34,0,0,0,47.61,0.82,9.85,0,2.46,4.1,0,0,0.82,3.28,0.82,15.6,0,22.16,0.82,0,132.16,0.82,0,52.53,233.12,0,8.21,38.58,0,0,12.31,0.82,6.57,8.21,26.27,0,4.93,0,0
 36-46,0,0,0,20.14,0,4.03,0,1.61,16.92,1.61,0,0,2.42,0,5.64,0,18.53,0.81,0,269.9,0,0,90.23,215.11,0.81,10.47,29,0,0,13.7,1.61,3.22,0.81,33.84,0,2.42,0,0.81
 48-58,0,0,0,20.08,0.57,11.48,0.57,2.87,9.18,2.3,0.57,0,2.3,0,5.74,0.57,14.92,0,0,261.66,0.57,0.57,68.86,116.48,0.57,4.02,19.51,0,0,20.08,0,1.72,0,18.36,0.57,3.44,0,0.57
 60-70,0,0,0,28.46,0,33.37,0.98,3.93,7.85,5.89,0.98,0,0.98,0,8.83,0.98,21.59,0,0,304.27,0,0,54.97,93.24,1.96,11.78,21.59,0,0,16.69,0,0.98,0,7.85,1.96,6.87,0,0
 72-82,0,0,0,24.54,0,40.25,0,0.98,10.8,12.76,0.98,0,0.98,1.96,9.82,2.94,22.58,0.98,0,264.07,0,0.98,38.28,97.18,1.96,16.69,19.63,0,0.98,35.34,0,3.93,0,2.94,3.93,13.74,0.98,0.98
 84-94,0,0,0,27.61,0,47.79,0,3.19,4.25,5.31,1.06,0,0,0,9.56,3.19,28.68,1.06,0,168.86,3.19,1.06,29.74,55.23,0,19.12,18.05,0,1.06,62.66,0,2.12,0,2.12,2.12,9.56,3.19,1.06
 96-106,0,0,0,49.18,1.09,44.81,0,7.65,2.19,2.19,5.46,0,2.19,2.19,20.76,1.09,45.9,1.09,1.09,171.58,5.46,0,17.49,45.9,1.09,33.88,12.02,0,1.09,60.11,0,3.28,0,1.09,2.19,18.58,1.09,0
108-118,0,0,0,33.7,0.77,32.17,0.77,0.77,0.77,5.36,1.53,0,0.77,2.3,15.32,2.3,16.85,0.77,0,127.15,5.36,0,21.45,53.62,3.06,21.45,9.19,0,4.6,52.85,0,0.77,0,0.77,1.53,9.19,0.77,0
120,1.96,0,0,41.16,0,19.6,0,1.96,1.96,1.96,1.96,0,0,1.96,11.76,1.96,7.84,1.96,0,109.75,1.96,0,11.76,66.63,0,27.44,7.84,0,0,43.12,0,3.92,0,0,0,9.8,1.96,0
