stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,9,1,3,0,0,0,4,1,2,0,0,0,0,0,0,9,0,0,27,53,1,1,1,1,0,1,1,19,1,466,1418,21,0,0,2,0,0
 24-34,0,0.82,0.82,16.42,3.28,47.61,228.2,0,1.64,3.28,1.64,5.75,1.64,4.93,4.1,0,1.64,3.28,68.95,0,1.64,82.91,426.02,4.1,7.39,4.1,0,0,30.37,0,1.64,4.1,268.42,603.33,87.83,0,0,7.39,0,1.64
 36-46,0,0,0,3.22,0,49.95,491.46,0.81,0.81,9.67,0,4.83,0.81,0,0.81,0.81,0.81,1.61,43.51,0,0.81,41.89,270.7,3.22,2.42,1.61,0,0,13.7,0,0,0.81,230.42,35.45,63.65,0,0.81,6.45,0,0.81
 48-58,0,0,0,4.02,1.15,89.51,459.04,2.3,2.87,21.23,0,4.02,1.15,0,0.57,0.57,1.15,1.15,36.15,0,1.15,45.9,215.18,0.57,0.57,1.15,0,0,5.74,0,0,0.57,179.6,0,52.79,0,0,5.74,0,5.74
 60-70,0,0,0,4.91,0.98,58.89,351.38,0,0,5.89,0,3.93,0,0,0,0,0,0,38.28,1.96,1.96,48.09,89.32,0.98,0.98,0.98,0.98,0,6.87,0,0,0,117.78,0,16.69,0,0,0,0,1.96
 72-82,0,0,0,5.89,0.98,46.14,256.21,0,2.94,18.65,0,1.96,0,0,0.98,0,0.98,0,50.06,0.98,0.98,44.17,112.89,0,0.98,0.98,0.98,0.98,2.94,0,0,0,66.75,0,15.71,0,0.98,5.89,0.98,0.98
 84-94,0,0,0,11.68,4.25,48.85,403.57,0,0,8.5,0,4.25,4.25,0,0,0,2.12,1.06,37.17,0,0,36.11,62.66,2.12,2.12,1.06,0,0,15.93,0,0,1.06,124.26,0,6.37,0,3.19,3.19,1.06,3.19
 96-106,0,0,0,13.11,21.86,73.22,644.78,3.28,1.09,19.67,4.37,10.93,4.37,1.09,1.09,2.19,9.84,1.09,56.83,0,2.19,56.83,98.36,0,1.09,3.28,1.09,2.19,19.67,1.09,0,0,126.77,0,2.19,0,3.28,9.84,4.37,4.37
108-118,0,0,0,7.66,3.06,42.13,505.54,1.53,2.3,15.32,1.53,5.36,3.83,2.3,3.06,0,6.13,0.77,47.49,0,0,68.94,71.23,0.77,0.77,0.77,0.77,0,3.06,0,0,0,113.36,0,2.3,1.53,1.53,5.36,1.53,1.53
120,0,0,0,15.68,3.92,15.68,311.61,0,0,11.76,1.96,0,0,1.96,1.96,0,0,0,23.52,0,0,82.31,37.24,1.96,1.96,1.96,0,0,3.92,0,1.96,0,41.16,0,0,0,0,0,0,1.96
