stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,14,3,1,0,1,0,0,0,0,0,0,0,2,35,2,0,0,2,2,6,2,4,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0.82,4.93,0,1.64,10.67,0.82,0,1.64,0,7.39,0,0,3.28,1.64,0,0
 36-46,0,0,0,4.83,0,0,0,0,0,0,0,0,2.42,0,0,19.34,0,0,0,0,3.22,0,0,4.03,0,0,0
 48-58,0,0,0,18.94,0,2.3,0,0,0,0,0,0,1.72,0.57,0,13.2,0,0,0,0,4.02,0,0,1.15,0.57,0,0
 60-70,0,0,0,12.76,0.98,0,0,0,0,0.98,0,0,4.91,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,21.6,0.98,0,0,0,0,0,0.98,0,1.96,0,0.98,7.85,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,1.06,0,0,0,2.12,0,0,0,0,0,3.19,0,0,0,0,6.37,0,0,0,0,0,1.06
 96-106,0,0,1.09,8.74,0,0,0,0,0,1.09,1.09,0,2.19,0,0,1.09,0,0,0,0,3.28,0,0,0,1.09,1.09,0
108-118,0,0,1.53,3.83,0,0.77,0.77,0,0.77,1.53,0,0,0.77,0,0,2.3,0,0.77,0,0,7.66,0,0,0,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0
