stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0,0.82,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.15,0,0,0,1.15,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,1.09,0,0,1.09,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
