stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2872.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,539.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,34.17,0,118.29,0,0,0,36.8,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,872.73,21.03,0,0,381.16,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,0,151.05,0,9.44,0,276.93,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1623.84,6.29,0,0,254.9,0,0,3.15,0,72.38,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,5,199,108,0,40,0,0,16,5,0,4,1,3,0,0,0,0,52,1,0,31,860,1,0,14,14,0,1,0,2,1,0,9,220,0,0,14,0,0
 24-34,0,0,2.46,3.28,31.19,9.85,0,93.58,0.82,1.64,38.58,3.28,0,6.57,4.93,0,0,4.1,0,0.82,85.37,0,1.64,27.91,2322.2,0.82,9.85,13.95,0,0,4.1,0,0,0,0,7.39,507.29,0,0,59.92,0,0.82
 36-46,0,0,0.81,0,29.81,2.42,0,129.71,0,4.03,145.02,0,0,6.45,3.22,0.81,1.61,4.03,0,0,74.93,0,0.81,7.25,2388,0,3.22,8.86,0,0,0,0,0,0.81,0,0,483.4,0,0.81,34.64,0,0.81
 48-58,0,0,0,0,13.2,1.15,0,146.32,0,0.57,176.73,0.57,1.15,6.31,7.46,1.15,0.57,4.02,0,0.57,62.54,0.57,3.44,4.59,1415.58,0,1.72,6.31,0,0.57,2.3,0,0,0,0,0,229.52,0,1.72,26.97,0,0.57
 60-70,0,0,0,0,24.54,0,0,146.25,0.98,0,129.56,2.94,0,3.93,12.76,0.98,0,7.85,0.98,0,76.56,0,8.83,3.93,1163.1,0.98,3.93,2.94,0,2.94,0,0,0,0,0,0,101.1,0.98,4.91,21.59,0,0
 72-82,0,0,0.98,0,8.83,3.93,0,113.87,0.98,0.98,83.44,2.94,0,4.91,17.67,1.96,0,6.87,0,0,62.83,0,10.8,8.83,737.23,0,2.94,7.85,0,1.96,0,0,0,0,0,0,33.38,4.91,3.93,38.28,1.96,1.96
 84-94,0,0,1.06,0,25.49,1.06,0,109.39,1.06,2.12,45.67,2.12,0,9.56,36.11,2.12,2.12,4.25,0,0,39.3,0,5.31,5.31,409.95,0,5.31,5.31,0,1.06,1.06,0,0,2.12,0,0,23.36,15.93,2.12,20.18,2.12,0
 96-106,0,0,0,0,26.23,4.37,1.09,54.64,0,1.09,61.2,10.93,0,2.19,30.6,2.19,2.19,5.46,1.09,0,43.71,0,3.28,1.09,236.05,0,7.65,7.65,0,3.28,4.37,0,0,0,0,0,8.74,34.97,0,18.58,3.28,1.09
108-118,0,0,0.77,0,20.68,2.3,0.77,33.7,1.53,0,42.13,6.89,0,2.3,26.04,1.53,0,9.19,1.53,0,46.72,0,3.06,3.83,291.83,0.77,6.13,3.83,0,3.06,1.53,0,0,0.77,0.77,0,5.36,68.94,0,23.74,3.06,1.53
120,0,0,0,0,9.8,0,0,52.91,1.96,0,31.36,5.88,0,0,37.24,5.88,0,7.84,0,1.96,27.44,0,1.96,1.96,280.25,0,7.84,3.92,0,0,0,0,0,0,0,0,1.96,15.68,0,23.52,0,0
