stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0
 24-34,0,0.82,0,1.64,14.78,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,7.39,18.88,1.64,0.82,0,0,2.46,70.59,33.66,2.46,0,2.46,0,0
 36-46,0,0.81,0,4.83,60.43,0,0,1.61,0,0.81,0,0,0,0,0,0.81,2.42,0,0,2.42,26.59,0,0.81,0,0,0.81,99.9,2.42,1.61,0,2.42,0,0
 48-58,0,0.57,0,12.62,39.59,0.57,0,2.3,0,0,0,0,0,0,0,1.72,4.59,0,0.57,6.89,30.99,0,0.57,0.57,0,0.57,102.14,0,8.61,0,1.72,0,1.15
 60-70,0,0,0,15.7,51.04,0,0,2.94,0,1.96,0,0,0.98,0,0,1.96,2.94,0,0,6.87,17.67,1.96,0,0,0.98,0,62.82,0,3.93,0.98,13.74,0,0
 72-82,0,0.98,0,9.82,45.16,0,0,2.94,0,0.98,0,0,1.96,0,0,0.98,1.96,0,0,6.87,21.6,0,0,0,0,2.94,38.28,0,3.93,1.96,21.6,0,0
 84-94,1.06,3.19,2.12,11.68,94.52,0,1.06,3.19,0,1.06,1.06,0,5.31,0,3.19,8.5,4.25,0,0,9.56,15.93,1.06,0,0,0,4.25,94.52,0,1.06,2.12,9.56,0,0
 96-106,0,2.19,4.37,25.14,121.31,1.09,0,15.3,1.09,5.46,1.09,1.09,5.46,1.09,3.28,2.19,14.21,0,1.09,3.28,28.41,0,0,1.09,0,6.56,69.94,0,1.09,1.09,15.3,0,1.09
108-118,0,0.77,0.77,9.96,122.55,1.53,0.77,10.72,0.77,3.83,2.3,0,4.6,0.77,1.53,4.6,6.89,0.77,0,14.55,16.85,0,0,0,0,3.83,68.94,0,0,0.77,11.49,0.77,1.53
120,0,5.88,0,7.84,56.83,0,0,3.92,0,1.96,0,0,1.96,0,1.96,0,5.88,0,0,11.76,7.84,0,0,0,0,0,17.64,0,0,0,13.72,0,0
