stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural_cell,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,0,0,0,0,0,0.98,1.96,0,63.81,2.94,0,2.94,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,0,5.31,0,0,0,5.31,0,280.38,0,0,6.37,1.06,0,0,0,1.06,1.06,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,0,7.65,1.09,0,3.28,12.02,0,488.5,3.28,1.09,55.74,0,2.19,0,0,2.19,3.28,0,1.09,3.28,0,0
108-118,0,0.77,2.3,0.77,0.77,9.96,0,0.77,0.77,9.96,0,1020.26,4.6,0,39.06,0,0,0,0.77,2.3,4.6,0.77,0.77,0,0.77,1.53
120,1.96,0,0,0,0,3.92,0,0,0,3.92,1.96,446.83,0,0,17.64,0,0,0,0,3.92,3.92,0,0,0,0,0
