stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,2,54,12,0,42,0,0,2,4,2,0,0,2,0,0,0,28,0,0,16,196,1,1,2,5,11,34,1,47,55,0,0,0
 24-34,0,0.82,7.39,1.64,0,38.58,0,0,1.64,2.46,0,0,0.82,0.82,0.82,0,0,30.37,2.46,0,8.21,122.31,0,0,1.64,0,6.57,0,0,6.57,14.78,0,0,0
 36-46,0,0.81,0.81,0.81,0,20.95,1.61,0,3.22,0.81,0,0,0,0,0,0.81,0,11.28,0,0,5.64,53.98,0,0.81,0,0,3.22,0,0,0,4.83,0,0,0.81
 48-58,0,0,1.72,0,0,10.9,0.57,0,4.02,1.72,0,0.57,0.57,0,0.57,0,0,11.48,0,0,2.87,30.99,0,0.57,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,6.87,0.98,0,24.54,0,0,8.83,0,0,0,0,0,0,0,0,10.8,0,0,0.98,12.76,0,1.96,0,0,1.96,0,0,0,0.98,0,0,1.96
 72-82,0,0,2.94,0,0,19.63,0,1.96,7.85,3.93,0,0,0.98,0,0,0,0,15.71,0.98,1.96,3.93,21.6,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.19,2.12,1.06,11.68,1.06,3.19,7.43,2.12,0,0,3.19,1.06,1.06,0,2.12,8.5,0,1.06,3.19,24.43,0,0,0,0,8.5,0,0,0,0,2.12,0,0
 96-106,0,0,9.84,1.09,0,10.93,1.09,0,5.46,1.09,0,1.09,1.09,0,0,0,0,12.02,0,0,3.28,14.21,0,1.09,2.19,0,7.65,0,0,0,0,0,0,2.19
108-118,0,0.77,7.66,2.3,1.53,11.49,0.77,0,7.66,3.83,0,0,0,0.77,0,0,0,12.26,0.77,0.77,6.89,22.98,0,0,0,0,5.36,0,0,0,0,0,0.77,2.3
120,0,0,7.84,1.96,1.96,5.88,0,0,5.88,0,0,0,0,0,0,0,0,7.84,0,0,3.92,25.48,0,0,0,0,13.72,0,0,0,0,1.96,0,5.88
