stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1726.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,1287.22,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,84.12,0,55.2,0,0,0,228.7,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,1435.28,13.14,0,0,636.15,0,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,66.09,0,72.38,0,6.29,0,173.08,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1661.6,28.32,0,0,607.37,0,0,18.88,3.15,53.5,0,6.29,0,0,0,0,0
 14-21,0,0,0,18,91,24,0,104,0,0,17,3,0,1,1,2,0,0,0,0,63,0,0,40,907,14,5,13,28,0,18,1,68,4,61,223,0,0,3,0,1
 24-34,0,0,0.82,4.93,55.82,6.57,0,295.51,1.64,3.28,17.24,2.46,0,3.28,7.39,4.1,4.93,5.75,4.1,0,132.16,0,0.82,43.51,1068.75,4.1,6.57,17.24,0,0,23.8,0,0,0.82,8.21,211.78,0,0,17.24,0,7.39
 36-46,0,0,0,0.81,27.39,4.03,0,459.23,4.83,0,20.14,1.61,0,2.42,6.45,0,0,3.22,4.03,0.81,133.74,0.81,4.03,37.87,704.15,5.64,4.83,9.67,0,0,8.86,0,0.81,0.81,0,136.16,0,0,8.86,0,8.86
 48-58,0,0,0,0,29.84,0.57,0,330.51,3.44,3.44,24.1,4.59,0.57,1.15,4.59,0,2.3,5.16,3.44,1.72,112.47,0.57,8.61,30.41,262.8,1.72,1.15,4.59,0,0,7.46,0,0.57,0.57,0,36.72,0,0,6.31,0,4.59
 60-70,0,0,0,0,35.33,0.98,0,238.51,0.98,7.85,66.74,7.85,0,0.98,1.96,0.98,1.96,0.98,0.98,0,79.5,0.98,3.93,21.59,171.77,0.98,0.98,2.94,0,0.98,4.91,0,0,0.98,0,12.76,0,0,1.96,0,2.94
 72-82,0,0,0.98,0.98,19.63,0.98,0,77.55,0.98,3.93,34.36,9.82,0,3.93,5.89,1.96,0.98,2.94,1.96,0.98,89.33,0.98,5.89,22.58,119.76,0.98,1.96,5.89,0,0.98,4.91,0,0,1.96,0,4.91,0.98,0.98,12.76,0,1.96
 84-94,0,0,0,0,31.86,7.43,2.12,87.09,1.06,3.19,28.68,5.31,0,1.06,12.74,0,2.12,2.12,2.12,0,79.65,0,8.5,19.12,108.33,0,2.12,13.81,0,0,13.81,0,0,5.31,0,4.25,5.31,0,8.5,1.06,1.06
 96-106,0,0,1.09,0,21.86,7.65,0,61.2,0,1.09,26.23,7.65,0,1.09,12.02,4.37,0,2.19,2.19,0,67.76,0,3.28,15.3,88.52,0,0,8.74,0,1.09,19.67,0,0,2.19,0,1.09,2.19,1.09,10.93,0,1.09
108-118,0,0,0.77,0.77,30.64,12.26,3.06,53.62,1.53,3.06,28.34,6.89,0,0,9.19,0,4.6,2.3,5.36,0,46.72,0.77,1.53,19.15,111.06,2.3,3.06,8.43,0,0,20.68,0,0,1.53,0,0,4.6,0,13.02,0.77,0
120,0,0,0,0,39.2,29.4,1.96,62.71,3.92,1.96,39.2,11.76,0,1.96,17.64,0,5.88,0,0,0,78.39,1.96,1.96,35.28,133.27,0,1.96,0,0,1.96,27.44,0,0,0,0,3.92,1.96,0,11.76,3.92,0
