stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,30,1,2,0,1,0,0,1,0,0,17,0,0,0,0
 24-34,0,0,0,0.82,0,0,16.42,0,0,2.46,0,0,0,0,0,0,0,3.28,0,0.82,79.62,0.82,3.28,0,0,0,0,0,0,0,17.24,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,40.28,0,0,0.81,0,0,0,0,0,0,0,1.61,0,1.61,61.23,0.81,0,0.81,0,0,0.81,0,0.81,0,10.47,0,0,0,0
 48-58,0,0,0,1.15,0,0,100.99,0,0.57,2.87,0,0,0,0,0,0,0,7.46,0,2.3,74.02,0,0,0,0,0,1.15,0,0.57,0,6.31,0,0,0,0
 60-70,0,0,0,0.98,0,0,318.99,0,0,3.93,0,0,0,0,0,0,0,17.67,0,3.93,91.28,0,0.98,0,0,0.98,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,0,533.04,1.96,0,11.78,0,0,0,0,0,0,0,30.43,3.93,5.89,141.36,0,0.98,0,0,0,0,0,0,0.98,4.91,0.98,0.98,0.98,1.96
 84-94,0,0,0,9.56,0,1.06,285.69,0,2.12,19.12,1.06,0,0,2.12,1.06,1.06,1.06,25.49,0,4.25,70.09,0,0,0,0,0,4.25,0,0,0,7.43,1.06,1.06,1.06,0
 96-106,0,0,0,7.65,2.19,0,301.63,0,1.09,18.58,1.09,0,1.09,1.09,0,0,2.19,22.95,0,5.46,96.17,0,1.09,0,0,0,2.19,0,1.09,0,2.19,2.19,1.09,1.09,0
108-118,0,0,0,3.06,0,0,291.83,0.77,1.53,16.09,0,0,0,0.77,0,0,0,11.49,1.53,5.36,108,0,0.77,0,0,0.77,2.3,0,0,0,3.06,0,3.06,0.77,0
120,0,0,1.96,7.84,1.96,0,270.45,0,0,21.56,1.96,0,0,0,0,0,0,21.56,1.96,15.68,141.1,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0
