stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,60,65,0,581,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,11,297,22,0,0,0,11,3,0,1,15,19,0,0,110,0,0
 24-34,0,0,0.82,0,34.48,21.34,0,718.25,0.82,1.64,15.6,7.39,0,0,4.1,7.39,3.28,9.85,0,2.46,0,114.1,0.82,0,44.33,171.56,16.42,0.82,0,0,3.28,0,3.28,0.82,22.98,24.63,0,0,364.46,0,0.82
 36-46,0,0,0,0,10.47,3.22,0,563.16,0,3.22,58.01,29.81,0,0,1.61,14.5,0,26.59,0,0,0,161.94,1.61,0,41.89,146.63,16.11,0,0,0,3.22,0.81,4.03,0,0,24.98,0,0,210.28,0,0
 48-58,0,0,0,0,4.02,2.3,0,511.83,0,0.57,71.15,107.3,0,0,3.44,16.07,1.15,43.04,1.15,0.57,0,254.2,1.72,1.15,20.66,150.91,10.33,1.15,1.15,0,2.87,0,3.44,0,0,47.05,0,0.57,152.63,0,1.72
 60-70,0,0,0.98,0,4.91,0.98,0,397.52,0,1.96,54.97,394.57,0.98,0,7.85,28.46,9.82,73.61,0.98,0,0.98,331.75,1.96,2.94,15.7,128.58,6.87,0,1.96,4.91,1.96,0,1.96,0,0,53.98,0,8.83,123.67,0,1.96
 72-82,0,0,0,0,10.8,3.93,0,380.88,1.96,3.93,90.31,910,1.96,0,9.82,23.56,16.69,62.83,0.98,0.98,0,525.19,4.91,5.89,23.56,190.44,0.98,0.98,7.85,5.89,8.83,0,5.89,0,0,65.77,1.96,34.36,224.8,3.93,1.96
 84-94,0,0,0,0,25.49,5.31,0,476.85,0,2.12,56.29,697.76,2.12,1.06,0,48.85,28.68,104.08,0,2.12,1.06,431.19,5.31,8.5,10.62,100.89,1.06,1.06,1.06,4.25,5.31,0,9.56,1.06,0,60.54,5.31,27.61,202.85,9.56,1.06
 96-106,0,0,1.09,0,64.48,7.65,6.56,510.36,4.37,4.37,51.36,860.07,7.65,0,6.56,53.55,32.79,101.63,4.37,6.56,1.09,533.31,6.56,9.84,10.93,171.58,5.46,3.28,13.11,8.74,18.58,0,12.02,1.09,0,79.78,2.19,41.53,249.17,2.19,0
108-118,0,0,0,0,21.45,6.13,3.06,418.98,0,7.66,48.26,783.58,6.13,0,4.6,35.23,29.11,128.68,2.3,3.06,0,484.09,3.83,3.06,13.79,147.83,10.72,0,7.66,9.96,12.26,0,8.43,0.77,0,42.13,4.6,47.49,193.79,1.53,1.53
120,1.96,0,0,0,25.48,5.88,0,301.81,0,1.96,29.4,1011.25,5.88,0,9.8,72.51,15.68,80.35,1.96,5.88,0,370.4,1.96,7.84,11.76,164.62,3.92,0,3.92,1.96,7.84,0,3.92,0,0,56.83,1.96,29.4,154.82,3.92,1.96
