stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,8.06,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,2.3,0,8.03,0.57,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,3.93,0,0,0.98,1.96,0,5.89,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,3.93,0,0,0.98,11.78,0,3.93,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,3.19,2.12,0,0,0,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,5.88,0,5.88,0,1.96,0,0,0,0,0,0
