stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,79.62,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,3.28,0,0,1.64,18.06,1.64,0.82,0,0,0,0.82,0,0,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,107.96,0,0,0,1.61,0,0,0,0,0,0,0,0,0,3.22,0,0,2.42,15.31,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,130.25,0,0.57,0,2.87,0,0,0,0,0,0.57,0,0,0,6.31,0,0,1.72,34.43,0.57,0.57,0,0,0,0.57,0,0,0,4.02,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,161.95,0,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98,11.78,0,0.98,0.98,36.32,0.98,0.98,0,0,0.98,2.94,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0.98,0.98,2.94,3.93,0.98,206.15,0,2.94,0.98,11.78,0.98,0,0.98,0.98,0.98,0.98,1.96,3.93,0,37.3,0,1.96,3.93,90.31,0,1.96,0.98,0,0,6.87,0,0.98,0.98,2.94,0,0.98,2.94,0.98,2.94
 84-94,0,0,1.06,0,9.56,14.87,0,315.43,1.06,2.12,2.12,13.81,4.25,1.06,0,3.19,2.12,1.06,1.06,3.19,4.25,31.86,0,3.19,3.19,103.02,0,0,1.06,0,0,30.8,0,1.06,1.06,13.81,0,1.06,7.43,2.12,6.37
 96-106,0,0,2.19,0,28.41,25.14,1.09,357.36,1.09,4.37,1.09,60.11,6.56,0,2.19,18.58,4.37,3.28,4.37,13.11,0,86.33,3.28,10.93,10.93,181.41,2.19,4.37,3.28,0,3.28,46.99,0,0,3.28,7.65,1.09,5.46,14.21,6.56,9.84
108-118,0,0,0.77,0,15.32,19.15,2.3,350.81,3.06,3.83,4.6,36,6.89,0,0.77,11.49,3.06,8.43,3.06,7.66,5.36,89.62,2.3,4.6,11.49,193.02,5.36,3.83,4.6,0,3.83,30.64,0,0,0.77,6.13,2.3,0.77,6.89,2.3,8.43
120,0,0,0,0,15.68,9.8,1.96,180.3,0,5.88,1.96,25.48,1.96,0,1.96,7.84,1.96,5.88,1.96,0,0,60.75,1.96,3.92,9.8,137.18,5.88,7.84,0,0,0,9.8,1.96,0,0,3.92,0,5.88,0,7.84,3.92
