stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,23.8,0,0.82,0,0,0.82,0,22.98,0.82,9.85,0,1.64,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,15.31,0,0,0,0.81,0.81,0,61.23,0,10.47,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0.57,0,2.87,0,1.15,0,0,0,0,4.02,0,0,6.89,0,0.57,0,0.57,1.15,0,14.35,0,10.9,2.87,0.57,0,0,0,0.57,0,0.57,0.57,0
 60-70,0,0,0,3.93,0,1.96,0,0,0,0,0.98,0,0,7.85,0,0.98,0,1.96,3.93,0,12.76,0,13.74,2.94,0.98,0,0,0,0,1.96,0.98,0,0
 72-82,0,5.89,0,11.78,0,0.98,0,0,1.96,5.89,1.96,0,0,14.72,0,1.96,0,5.89,2.94,0,7.85,0,27.49,9.82,0.98,0.98,0,0,0.98,16.69,0,0,0
 84-94,0,5.31,0,9.56,0,2.12,0,0,1.06,5.31,2.12,1.06,1.06,27.61,0,3.19,0,2.12,4.25,0,8.5,0,19.12,10.62,1.06,0,0,1.06,1.06,40.36,0,0,0
 96-106,0,5.46,0,15.3,1.09,1.09,0,1.09,1.09,6.56,0,0,1.09,29.51,0,9.84,1.09,1.09,7.65,0,7.65,0,20.76,21.86,1.09,1.09,0,0,0,76.5,0,0,1.09
108-118,0,3.83,0,9.19,0.77,1.53,0,0,0,5.36,0,0,0.77,31.4,0.77,6.13,0,3.06,3.83,0.77,3.06,0,19.15,13.79,3.06,0,0,0.77,0.77,91.15,0,0,0
120,0,1.96,0,9.8,0,0,1.96,1.96,0,5.88,0,0,1.96,15.68,0,7.84,0,0,1.96,0,3.92,0,11.76,21.56,1.96,0,0,0,0,35.28,0,0,0
