stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0
 24-34,0,0,0,19.7,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0.82,200.29,0,0,0,0,0,2.46,0,0.82,0,42.68,0,0,0,0,0
 36-46,0,0,0,4.83,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,3.22,0.81,396.39,0.81,1.61,0,0,0,5.64,0,0.81,0,82.98,0,0,0,0,0
 48-58,0,0,0,5.16,0,0,22.38,1.15,0,0.57,2.3,0.57,0.57,0,0,0,0,0,0.57,0,7.46,0.57,5.74,1.15,476.26,1.15,0,0.57,0,0,14.92,0.57,0.57,0,81.48,0,0,0,0,0
 60-70,0,0,0.98,7.85,0,0,28.46,0.98,1.96,0.98,9.82,0,0,0.98,0.98,0,0,1.96,0,0.98,8.83,0,13.74,0.98,995.26,0,0,0.98,0,0,25.52,0,0,0.98,130.54,0,7.85,0,1.96,0.98
 72-82,0,0,7.85,12.76,0.98,0,74.61,0,1.96,0,24.54,2.94,0,0,1.96,0.98,0.98,0,0,0,25.52,0.98,8.83,0.98,1077.86,0,2.94,1.96,0,0,68.72,0,1.96,0,83.44,0,8.83,0.98,12.76,2.94
 84-94,0,0,10.62,23.36,1.06,1.06,73.28,0,3.19,0,24.43,6.37,0,0,1.06,3.19,0,0,0,0,20.18,0,8.5,2.12,579.87,0,2.12,1.06,0,1.06,139.13,0,4.25,0,41.42,1.06,9.56,0,7.43,0
 96-106,0,0,9.84,8.74,0,0,54.64,0,2.19,2.19,22.95,8.74,0,0,1.09,0,2.19,2.19,1.09,0,19.67,3.28,2.19,2.19,456.81,0,2.19,2.19,0,0,159.56,0,1.09,0,25.14,0,6.56,3.28,14.21,0
108-118,0,0,3.83,11.49,1.53,0.77,42.13,0,3.06,0,14.55,3.83,0,0,2.3,4.6,0.77,0.77,0.77,0,11.49,1.53,5.36,0.77,552.26,0,3.06,2.3,0,0,150.13,0,3.06,0,15.32,0.77,1.53,0.77,7.66,0.77
120,0,0,13.72,9.8,3.92,0,80.35,0,7.84,1.96,25.48,15.68,0,0,3.92,0,0,0,1.96,0,19.6,1.96,3.92,0,958.34,1.96,5.88,1.96,0,3.92,143.06,0,11.76,0,33.32,1.96,3.92,0,13.72,0
