stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1752.67,28741.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.23,0,0,0,0,0,0,0,0,0
  5-6,1795.98,20644.61,36.78,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,459.72,73.56,0,0,159.37,331,0,0,0,0,0,0,0,0,0
  7-9,139.32,173.5,323.33,0,2.63,0,457.4,0,0,0,0,0,162.98,0,0,0,0,0,0,0,0,0,0,5091.82,136.69,0,0,1955.76,7.89,47.32,0,0,0,0,0,0,0,0
 10-12,0,56.65,129.03,0,12.59,0,220.29,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,2095.88,28.32,0,0,909.47,9.44,28.32,3.15,84.97,6.29,6.29,0,0,0,0
 14-21,0,1,13,127,22,0,66,0,0,0,16,6,0,1,0,3,0,0,0,51,0,0,40,878,18,5,7,42,14,3,115,4,60,313,0,2,0,0
 24-34,0,0,5.75,38.58,3.28,0,207.68,0,0.82,0,27.09,1.64,0.82,0,0.82,0.82,2.46,1.64,0.82,146.93,0.82,0,52.53,1671.26,13.13,13.95,13.95,0.82,32.83,0,0,2.46,7.39,421.92,0,25.45,0,0
 36-46,0,0,0,16.11,6.45,0,529.32,0,0.81,0,27.39,0.81,0,0.81,0.81,0,3.22,0,0.81,119.24,0,0.81,33.84,1339.83,4.83,8.86,10.47,0,16.92,0.81,0,2.42,0,316.63,0,10.47,0,2.42
 48-58,0,0,0,17.21,1.72,0,595.04,0,0,0.57,23.53,0,0,1.72,0.57,0,3.44,1.72,0.57,118.2,0,10.33,26.97,600.77,5.74,2.3,7.46,0,10.33,0,0.57,0,0,97.55,0,6.89,0,0.57
 60-70,0,0,0,24.54,0,0,443.65,0,0,0,38.28,1.96,0,0.98,2.94,0,0.98,0.98,0,91.28,0.98,4.91,14.72,297.4,1.96,0,0.98,0,4.91,0,0,0.98,0,16.69,0,4.91,0,0
 72-82,0,0,0,20.61,0.98,0,140.38,0.98,0,0.98,38.28,3.93,0,2.94,2.94,0,1.96,0,0,91.29,0.98,5.89,15.71,183.57,0.98,3.93,5.89,0,0.98,0,0,0,0,6.87,0.98,5.89,0,0.98
 84-94,0,0,0,19.12,0,0,129.57,0,0,1.06,15.93,8.5,0,1.06,1.06,3.19,1.06,0,0,62.66,0,14.87,16.99,172.05,3.19,3.19,3.19,0,12.74,0,0,1.06,0,7.43,1.06,8.5,2.12,0
 96-106,0,0,0,16.39,5.46,0,92.89,0,1.09,1.09,28.41,8.74,0,4.37,3.28,0,2.19,0,1.09,48.09,0,3.28,10.93,139.88,1.09,1.09,7.65,0,9.84,0,0,2.19,0,3.28,1.09,12.02,1.09,1.09
108-118,0,0,0,9.96,0.77,0.77,86.55,0,0,1.53,15.32,5.36,0,0,1.53,0,2.3,0,3.83,39.83,0.77,3.83,6.13,158.55,3.06,3.06,3.83,0,4.6,0.77,0,2.3,0,4.6,1.53,4.6,0,0
120,0,0,0,7.84,7.84,0,76.43,0,0,0,21.56,3.92,0,0,3.92,1.96,1.96,1.96,0,41.16,0,0,3.92,121.51,0,1.96,1.96,0,1.96,0,0,0,0,1.96,0,7.84,0,0
