stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,3,2,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0,9
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,9.03,1.64,0,0,0,0,0,3.28,0,0,38.58
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,9.67,0,1.61,21.75,0.81,0,0,0,0,0,9.67,0,0,29.81
 48-58,0,0,2.87,0,0.57,0,0,0,0,0,0.57,19.51,0,5.16,30.41,0.57,0,0,0,0,0,4.59,0,0,30.41
 60-70,0,0,5.89,0.98,0,0,0,0,0,0,0,34.35,0,0.98,51.04,0,0,0,2.94,0,0,7.85,0,0,26.5
 72-82,0,0,5.89,0,0,1.96,0,0,0,2.94,0,27.49,0,3.93,57.92,0,0.98,0.98,2.94,0,0,9.82,0,0,29.45
 84-94,1.06,0,7.43,0,0,1.06,0,1.06,1.06,6.37,0,23.36,1.06,1.06,37.17,0,0,0,0,0,0,5.31,0,1.06,31.86
 96-106,0,0,3.28,0,0,1.09,0,0,0,10.93,0,22.95,0,2.19,41.53,0,1.09,0,5.46,0,0,3.28,0,0,26.23
108-118,0.77,0,3.06,0.77,0,3.06,0.77,0,0,12.26,0,19.15,0,0.77,36,0,0,0,3.83,0,0,2.3,0.77,0,8.43
120,0,0,5.88,0,0,7.84,0,0,0,9.8,0,19.6,0,1.96,41.16,0,0,0,0,0,0,0,0,0,1.96
