stage,axial,blastomeres,eye,hatching.gland,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pgc,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,6.13,0,0,12.26,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,28.92,5.26,0,13.14,2.63,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,4.91,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,7.84,0,0,0,0,0
