stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,0,1,0,3,0,1,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0.82,0,0.82,24.63,0,1.64,0,8.21,0.82,0,0,0,5.75,0,0,1.64,0
 36-46,0.81,0,0,4.83,0,0.81,0,0,0,0,0,0,0,0,0,1.61,3.22,0,0,33.84,0,0.81,0,36.26,0,0,0,0,4.83,0,0,0.81,0
 48-58,1.15,0,0,9.75,0,2.3,0,1.72,0,0,0.57,0,0,0,0,4.59,5.16,0,1.15,24.67,0,0.57,0,37.87,0,0,0,0,3.44,0,0,0,0
 60-70,0.98,0,0,10.8,1.96,0.98,0,1.96,0,0,1.96,0,0,0,0.98,5.89,3.93,0.98,0,36.32,0,0.98,0.98,61.84,0,0,0,0,7.85,1.96,0,1.96,0
 72-82,5.89,1.96,0,9.82,0.98,1.96,0,0,0.98,0.98,4.91,0,0,0,0,14.72,13.74,0,1.96,35.34,0,0,0,78.53,0,0,0.98,0,2.94,4.91,0.98,3.93,0.98
 84-94,12.74,1.06,0,7.43,4.25,2.12,0,0,0,0,4.25,0,0,1.06,0,12.74,14.87,0,0,10.62,0,0,2.12,208.16,0,0,0,0,2.12,15.93,1.06,0,0
 96-106,41.53,0,0,6.56,3.28,3.28,12.02,0,0,2.19,12.02,1.09,1.09,2.19,0,8.74,18.58,1.09,0,21.86,0,1.09,3.28,256.82,0,0,0,0,0,49.18,0,1.09,0
108-118,42.89,0,1.53,6.13,17.62,0.77,17.62,0,0,0,17.62,1.53,0,0,0,10.72,18.38,0.77,0.77,26.04,0,1.53,0,286.47,0,0,1.53,0,0.77,88.09,0,0.77,0
120,39.2,0,0,11.76,11.76,0,7.84,0,0,0,21.56,0,1.96,0,0,0,15.68,0,0,1.96,0,1.96,1.96,239.09,0,0,0,0,0,25.48,0,0,0
