stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,3.15,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,69.23,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,2,16,6,7,48,1,0,1,0,0,0,2,0,0,10,0,0,101,1,6,14,6,0,1,5,57,5,142,0,0,0,0
 24-34,0,1.64,0,2.46,0,7.39,36.94,0,0,0,0,0.82,0,0.82,0,0,5.75,0,0.82,88.65,0.82,18.88,5.75,0,0.82,0,0,31.19,0,97.68,0,0,0.82,0
 36-46,0,0,0,0.81,0,9.67,17.72,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,79.76,0.81,19.34,3.22,0,0,0,0,10.47,0,51.56,0,0,0.81,0
 48-58,0,0,0,0,0,24.1,25.25,0,0,0,0,0,0,0.57,0,0,2.3,0,0.57,60.25,0,13.77,2.87,0,1.15,0,0,4.59,0,44.76,0,0.57,0,0.57
 60-70,0,0.98,0,0,0,32.39,17.67,0.98,0,0,0,0.98,0,2.94,0.98,0,3.93,0.98,0,80.48,0,17.67,4.91,0,0,0,0,1.96,0,22.58,0,0,0,0
 72-82,0,1.96,0,0,0.98,31.41,27.49,0.98,0,0,0,0,0,4.91,0,0.98,4.91,0,0.98,62.83,0,27.49,9.82,0,0,0,0,0.98,0,11.78,0,0,0,0
 84-94,0,2.12,0,0,3.19,28.68,9.56,1.06,0,0,0,1.06,0,5.31,0,0,4.25,0,0,39.3,0,27.61,16.99,0,0,0,0,5.31,0,11.68,0,0,0,0
 96-106,0,1.09,1.09,2.19,0,9.84,13.11,1.09,0,0,0,0,1.09,10.93,0,0,1.09,0,0,31.69,0,49.18,22.95,0,0,0,0,9.84,0,9.84,1.09,0,0,0
108-118,0,0.77,0.77,0,0,13.02,6.13,0,0,0,0,0,0,7.66,0,0,0.77,0,0.77,21.45,0,21.45,13.02,0,0,0,0,4.6,0,9.96,0.77,0,0,0
120,0,0,0,0,0,9.8,1.96,0,0,0,1.96,0,0,5.88,1.96,0,1.96,0,0,17.64,0,5.88,7.84,0,0,0,0,5.88,0,1.96,0,0,3.92,0
