stage,axial,blastomeres,endoderm,eye,heart,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,6.13,6.13,0,0,0
  7-9,0,2.63,2.63,2.63,0,0,0,84.12,2.63,26.29,0,0
 10-12,0,0,0,3.15,0,0,0,28.32,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0
