stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,267.6,0,10.67,0,0,0,0,0,0,0,0,49.25,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,675.96,0,8.06,0,0,0,0,0,0,0,0.81,92.65,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,30.41,0,0.57,0.57,6.31,0,0.57,0,0,0,0,0,0.57,10.33,0,0.57,3.44,1036.87,0,7.46,0.57,0,0,0.57,0,0,0,0,83.78,0,0,0.57,0,1.72
 60-70,0,0,0,0,0.98,0.98,69.69,0,1.96,0.98,9.82,0.98,0,0,0,0,0,0,0,12.76,0,0.98,0.98,1942.43,0,14.72,0,0,0,2.94,0,0,0,0,138.39,0,0,4.91,0,2.94
 72-82,0,0,3.93,0,5.89,5.89,131.54,0,1.96,0.98,25.52,0.98,0,0.98,0,0.98,1.96,1.96,0.98,37.3,0,0.98,1.96,2057.56,0,7.85,0.98,0,0,3.93,0,0,0.98,0,117.8,0,0,13.74,0.98,4.91
 84-94,0,0,3.19,0,10.62,3.19,126.38,1.06,0,1.06,16.99,2.12,0,3.19,0,2.12,1.06,1.06,0,5.31,0,0,0,976.01,1.06,3.19,0,0,0,6.37,0,0,0,0,58.41,1.06,2.12,15.93,1.06,1.06
 96-106,0,0,0,0,8.74,5.46,73.22,0,1.09,2.19,24.04,2.19,0,6.56,1.09,2.19,0,2.19,0,20.76,0,2.19,1.09,797.78,0,4.37,0,0,0,1.09,0,0,0,0,31.69,1.09,2.19,16.39,1.09,1.09
108-118,0,0,0.77,0,6.89,0.77,55.92,0,0,0,12.26,1.53,0,0.77,1.53,0.77,0,0,0,9.19,0,0,3.83,926.82,0,6.13,0,0,0,3.06,0,0.77,0.77,0,21.45,1.53,0.77,16.85,1.53,0
120,0,0,3.92,0,13.72,0,90.15,0,3.92,0,15.68,0,0,0,0,0,0,1.96,0,7.84,1.96,1.96,1.96,1320.9,0,5.88,0,0,1.96,1.96,0,0,1.96,0,45.08,0,0,17.64,0,0
