stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,201.41,0,0,0,3.15,0,34.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,316,6,0,1,0,8,0,0,10,15,0,9,71,0,0,0,5,6,0,0,17,0,4,9,0,0,132,0,1,10,4,0,0,1,0,0
 24-34,0,0,2.46,13.13,528.63,4.93,0,1.64,0,69.77,0,0,12.31,2.46,0,13.13,100.97,0,13.13,0.82,4.93,45.15,0,0.82,65.67,0,48.43,22.16,0,0,256.93,0,0,15.6,3.28,0,0,4.1,0,0
 36-46,0,0,0,0,236.06,0,0,3.22,0,55.59,0,0,7.25,3.22,0,25.78,28.2,0,5.64,2.42,1.61,26.59,0,0.81,74.12,0,43.51,16.11,0,0,255.4,0,0,12.09,2.42,0,0,3.22,0,0
 48-58,0,0,0,1.15,186.49,0,0,5.74,0,95.25,0.57,0.57,2.3,23.53,1.15,20.08,18.36,0,13.2,0.57,3.44,24.67,0,0,41.89,0,36.72,12.62,0,0,251.9,0,0,8.61,5.16,0,0,1.15,0,0
 60-70,0,0,0.98,0.98,235.57,0.98,0,9.82,0.98,92.26,0,1.96,10.8,13.74,0,28.46,22.58,0,21.59,0.98,8.83,21.59,0.98,0.98,18.65,0,36.32,22.58,0,0,286.6,0,0,11.78,1.96,6.87,0,0,0,0
 72-82,0,0,18.65,1.96,299.41,7.85,0.98,6.87,0,96.2,1.96,0,61.84,9.82,0,63.81,53.01,0.98,31.41,1.96,17.67,41.23,2.94,1.96,16.69,0,64.79,27.49,0,0.98,270.94,0,0,3.93,0.98,22.58,0.98,6.87,1.96,0
 84-94,0,0,9.56,2.12,608.55,3.19,2.12,6.37,0,218.78,0,2.12,80.71,16.99,0,88.15,87.09,0,49.92,4.25,10.62,38.23,2.12,1.06,23.36,0,97.71,44.61,0,0,877.24,0,0,9.56,1.06,70.09,1.06,5.31,2.12,0
 96-106,0,0,19.67,1.09,967.17,9.84,2.19,13.11,0,226.22,1.09,2.19,128.96,1.09,0,139.88,80.87,0,79.78,3.28,18.58,66.66,1.09,1.09,41.53,2.19,156.28,69.94,0,0,764.99,4.37,0,8.74,1.09,142.07,0,10.93,2.19,1.09
108-118,0,0,9.96,7.66,872.43,3.06,7.66,5.36,0,274.98,2.3,3.83,124.09,0,0,121.79,72,0.77,44.43,3.06,18.38,48.26,0.77,1.53,34.47,0.77,85.79,39.06,0,0,540,0,0,10.72,0.77,127.92,0.77,6.89,2.3,0
120,0,0,3.92,1.96,633.01,9.8,1.96,3.92,1.96,178.34,0,3.92,60.75,0,0,115.63,48.99,0,37.24,3.92,9.8,35.28,1.96,0,23.52,0,48.99,41.16,0,0,405.68,0,0,5.88,1.96,48.99,0,3.92,1.96,0
