stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,79.69,1127.85,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,10.51,0,0,31.54,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,299.67,5.26,0,0,97.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,9.44,0,0,100.7,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,27,0,0,0,0,0,6,0,1,8,0,0,0,0,0
 24-34,0,0,0,5.75,0.82,16.42,0,1.64,4.1,0,0,0,1.64,0,0,0,0,0,19.7,0.82,0,8.21,179.77,0.82,0,0.82,0,9.85,0,0,4.1,49.25,0,0,3.28,0,0
 36-46,0,0,0,3.22,3.22,12.89,0,0,3.22,0,0,0,0,0,0,0.81,0,0,6.45,0,0,1.61,38.67,0.81,0.81,2.42,0,3.22,0,0.81,0,8.86,0,0,0.81,0,1.61
 48-58,0,0,0,2.3,5.74,32.71,0.57,1.15,1.72,0,0,0.57,0,0,0,0,0,0,13.2,0,0,1.15,28.69,0.57,0,0,0,2.87,0,0.57,0,8.61,0,0,0,0,0
 60-70,0,0,0,2.94,1.96,25.52,0,0,3.93,0.98,0,0,0.98,0,0,0.98,0.98,0.98,14.72,0,0.98,4.91,16.69,0,0,0,0,0.98,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,15.71,0,0,1.96,0,0,0,0,0,0.98,0.98,0,0,10.8,0.98,0,2.94,18.65,0,0,0,0,0.98,0,0,0,0.98,0.98,0.98,2.94,0.98,0
 84-94,0,0,0,3.19,0,13.81,0,1.06,7.43,0,0,0,2.12,1.06,0,0,0,0,13.81,0,1.06,5.31,15.93,0,1.06,0,0,1.06,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,4.37,2.19,6.56,0,0,4.37,1.09,0,2.19,2.19,0,0,0,0,0,5.46,0,0,0,9.84,0,1.09,0,0,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,0.77,8.43,0,0,4.6,0.77,0,0,0,0,0,0,0,0,8.43,0,0.77,1.53,12.26,0,0,0,0,1.53,0,0,0,1.53,0,0,0.77,0,0
120,0,0,0,3.92,3.92,5.88,0,0,1.96,0,0,0,1.96,0,0,0,0,0,9.8,0,0,1.96,19.6,1.96,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
