stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,2470.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,6.13,0,0,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,42.06,0,52.57,0,0,0,120.92,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,1017.31,21.03,0,0,389.05,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,25.18,0,56.65,0,3.15,0,75.53,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,3.15,657.72,18.88,0,0,295.82,0,3.15,0,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,53,15,0,44,1,0,17,2,0,0,0,1,0,0,0,0,39,0,0,26,414,6,2,3,15,6,1,53,2,0,39,143,0,0,3,0,0
 24-34,0,0,0,2.46,10.67,3.28,0,47.61,0.82,0,10.67,0,0,1.64,0,1.64,0.82,0,0.82,0,40.22,0,0,26.27,425.2,1.64,0.82,4.1,0,11.49,0,0,1.64,1.64,5.75,88.65,0,0,9.85,0,0
 36-46,0,0,0,0.81,0,3.22,0,59.62,0,1.61,10.47,0,0,2.42,0,0,0,0,0,0,30.62,0,0,16.92,235.26,1.61,4.03,4.03,0,6.45,0,0,0,0,0,48.34,0,0,4.03,0,0
 48-58,0,0,0,0,2.87,0,0,59.68,1.15,2.3,28.69,0.57,0.57,1.72,0,0,0,0.57,0,0,54.51,0.57,1.15,9.18,138.86,0,0.57,1.72,0,0,0,0,0.57,0,0,35.58,0,0,2.3,0,1.15
 60-70,0,0,0,0,4.91,1.96,0,49.08,0.98,1.96,9.82,0,0,0,0,0,0.98,1.96,0,0.98,53,0,0.98,4.91,100.12,0.98,0,3.93,0,0.98,0,0,0,0.98,0,14.72,0,0.98,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,0,45.16,0,4.91,17.67,1.96,0,2.94,0.98,0,0.98,0.98,0,0.98,63.81,0,1.96,4.91,116.82,0,1.96,3.93,0,1.96,0,0,0.98,0.98,0,7.85,0.98,1.96,2.94,1.96,1.96
 84-94,0,0,0,0,10.62,1.06,0,38.23,0,0,16.99,1.06,1.06,0,1.06,2.12,0,1.06,0,0,52.04,0,2.12,6.37,54.16,0,0,2.12,0,12.74,0,0,0,0,0,7.43,0,2.12,2.12,2.12,0
 96-106,0,0,0,0,2.19,1.09,0,27.32,2.19,1.09,16.39,3.28,0,2.19,5.46,0,0,0,1.09,0,44.81,1.09,1.09,6.56,73.22,1.09,3.28,4.37,0,13.11,0,0,2.19,0,0,3.28,1.09,0,8.74,1.09,0
108-118,0,0,0.77,0,12.26,1.53,0.77,13.02,1.53,3.83,16.09,2.3,0,0,2.3,1.53,0.77,0.77,0.77,0.77,32.17,1.53,1.53,3.06,80.43,0,3.06,3.06,0,9.19,0,0,0,0,0,2.3,1.53,0,1.53,0.77,0
120,0,0,0,1.96,25.48,1.96,0,15.68,1.96,0,13.72,3.92,0,0,0,1.96,0,0,0,0,29.4,0,3.92,3.92,66.63,0,0,7.84,0,7.84,0,0,0,0,0,1.96,0,0,9.8,0,0
