stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,7.89,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,165.61,0,0,0,99.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,12.59,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.23,9.44,0,0,78.67,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,47,3,6,1,0,0,0,0,0,0,0,0,0,0,1,10,0,3,68,0,0,2,0,0,2,0,2,32,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,4.1,0,0,0.82,0,0,0.82,0,0,0,0,0,0,18.06,0,6.57,166.63,0,2.46,1.64,0,0,0,0,0,37.76,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,36.26,0,0,4.03,0,0,0.81,0,0,0,0,0.81,0.81,23.36,0.81,6.45,700.13,0,3.22,0,0,0.81,0,0,0,107.15,0,0,4.03,0,0
 48-58,0,0,0,0,0.57,0,150.91,0.57,2.3,16.07,0,0,0,0,0,0.57,0.57,0,0.57,23.53,1.15,2.3,858.41,0,1.15,0,0,0.57,0,0,0,146.89,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,3.93,0.98,315.07,0.98,1.96,17.67,0.98,0,0,0.98,0,0,0.98,0,0.98,30.43,1.96,1.96,1321.13,0,0,0,0,0.98,0,0,0,245.38,0,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,1.96,140.38,0,3.93,13.74,0,0,0.98,0,0,0,0,0,0,20.61,0.98,0,549.73,0,0,0,0,4.91,0,0.98,0,71.66,0,0,0,0,0
 84-94,0,0,0,0,5.31,0,86.03,0,2.12,9.56,0,0,0,1.06,0,0,0,0,0,12.74,3.19,2.12,216.66,0,0,0,0,1.06,0,0,0,43.54,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,52.46,0,3.28,7.65,0,0,0,1.09,0,0,1.09,0,0,14.21,0,0,150.81,1.09,0,0,0,1.09,0,0,0,20.76,0,0,0,0,1.09
108-118,0,0,0,0,3.06,0,35.23,0.77,0.77,2.3,0,0,0,0,0.77,0,0.77,0.77,0,11.49,0,0.77,164.68,0,0,1.53,0,0,0,0,0,13.79,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,33.32,0,1.96,0,1.96,0,0,0,0,0,0,0,0,23.52,0,0,227.34,0,0,0,0,0,0,0,0,15.68,0,0,1.96,1.96,0
