stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,6,3,0,0,0
 24-34,0,0.82,0.82,0.82,0.82,0,0,0.82,0,0.82,0,0.82,0.82,0,0,10.67,0,0,3.28,0,0,1.64,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,5.64,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,1.15,0,1.72,0,0,0,0,0,0,0,0.57,0,0,9.18,0,1.15,0.57,0,0,1.72,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,3.93,0,1.96,1.96,0,0,1.96,0,0,0
 72-82,0,0,0,0,2.94,0,0,1.96,0,0,0,0,2.94,0.98,0,3.93,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,2.12,1.06,0,0,1.06,0,1.06,0,0,3.19,0,0,3.19,0,0,1.06,0,0,1.06
 96-106,0,1.09,1.09,0,4.37,1.09,0,1.09,0,0,0,0,0,0,0,3.28,0,3.28,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,1.53,0,0,0.77,0,0,0,0,2.3,0,0,3.06,0,0.77,1.53,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
