stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0
  7-9,7.89,2.63,5.26,0,7.89,0,0,0,0,5.26,0,0,0,0,0,76.23,5.26,21.03,0,2.63,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,3.15,0,0,0,0,0,50.35,3.15,9.44,0,0,0,3.15,0,0
 14-21,0,0,0,3,1,0,0,7,0,0,0,0,0,1,0,12,0,1,2,0,4,0,1,8
 24-34,0,0,0,1.64,4.1,0,0,0.82,0,0,0.82,0,0,0,1.64,65.67,0,0,0.82,0,0,0,0,13.95
 36-46,0,0,0,0,7.25,0.81,0,6.45,0,0,0,0,0,3.22,0,70.9,0,0,0,0,0,0,0,15.31
 48-58,0,0,0,0,7.46,0,0,16.64,0.57,0,0,0,0,3.44,0,36.15,0,0,0,0,0,0,0,12.05
 60-70,0,0,0,0,9.82,0,0,22.58,0,0,0,0.98,0,0,0.98,34.35,0,0,0,0,0,0,0,8.83
 72-82,0,0,0,0,12.76,0,0,21.6,0,0,0,0,0,2.94,0,24.54,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,19.12,0,0,13.81,0,0,0,0,0,2.12,0,12.74,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,20.76,0,0,14.21,0,0,0,0,0,3.28,0,9.84,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,11.49,0,0.77,10.72,0,0,0,0,0.77,0,1.53,19.92,0,0,0,0,0,0,0,1.53
120,0,0,0,0,7.84,0,0,13.72,0,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0,0,1.96
