stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,47.32,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,1,5,0,0,0,0,0,0,0,0,0,0,1,22,0,0,1,1,0,2,0,2,13,0,0,0
 24-34,0,0,0.82,0.82,0.82,8.21,0,0,0.82,0,0,0,0.82,0,7.39,0,2.46,62.39,0,0,0,0.82,0,0,0.82,0,14.78,0,0,0
 36-46,0,0,0,0.81,0,7.25,0,2.42,0,0,0.81,0,0,0,3.22,0,0,24.98,0,0,0,0,0,0,0,0,6.45,1.61,0,0.81
 48-58,0,0,0,0,0,9.75,0,2.3,0,0,0,0,0,0,5.74,1.15,1.15,32.13,0.57,0,0,0,0,0,0,0,6.89,0.57,0,0
 60-70,0,0,0,0,0,5.89,0,0.98,0,0,0,0,0,0.98,5.89,0,0,27.48,0,0,0,0,0,0,0.98,0,2.94,0.98,0,0
 72-82,0,0,0,0,0,6.87,0.98,2.94,0,0,0.98,0,0,0,4.91,0,0,20.61,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,5.31,0,2.12,0,0,0,1.06,0,0,6.37,0,2.12,10.62,0,0,0,2.12,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,1.09,0,5.46,0,5.46,0,0,0,0,0,0,7.65,0,0,4.37,1.09,1.09,0,1.09,0,0,0,0,2.19,1.09,1.09,0
108-118,0,0,0,0,0,5.36,0,0.77,0.77,0,0,0,0,0,4.6,0.77,0,9.19,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
