stage,epidermis,eye,glial,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,vasculature
 14-21,1,1,1,0,0,0,1,3,0,0,3,0
 24-34,0,0,0,0,0.82,0.82,0,9.03,0.82,1.64,2.46,1.64
 36-46,1.61,0.81,0,0,1.61,0,0,11.28,0.81,0,5.64,0
 48-58,0,5.74,0,0,0.57,0,0,6.89,0,0,0.57,0
 60-70,0,9.82,0,0,0,0,0,1.96,0,0,1.96,0
 72-82,0.98,35.34,2.94,0,0.98,0,0,3.93,0,0.98,0,0
 84-94,1.06,21.24,3.19,0,1.06,0,0,0,0,0,0,0
 96-106,0,49.18,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0.77,17.62,0,0,1.53,0,0,2.3,0,0,0,0
120,0,9.8,1.96,0,0,0,0,5.88,0,0,0,0
