stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,49.95,7.89,0,49.95,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,12.59,0,31.47,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,1,0,2,3,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,12.31,0.82,0,0,4.1,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,58.81,0,0,0,6.45,0,3.22,1.61,0,0,0,0,0,0,0.81,0,0,1.61,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,1.72,0,0.57,0,0,0,0,63.69,0,0,0,22.38,0.57,2.3,2.3,0,0.57,0,0.57,0,0,0,0,0,1.72,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,84.41,0,0,0,44.17,0,2.94,1.96,0,0,0,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0,0,0,0,4.91,0,0.98,0.98,5.89,0,0,92.28,0,0,0,39.27,0,1.96,7.85,0,0,0,0,0,0,2.94,0,0,0.98,1.96,0,0.98
 84-94,0,0,2.12,0,1.06,1.06,1.06,2.12,0,0,0,9.56,0,1.06,117.89,0,0,0,19.12,3.19,1.06,4.25,0,0,0,1.06,0,0,8.5,0,0,1.06,0,4.25,1.06
 96-106,0,0,1.09,0,1.09,0,0,2.19,0,1.09,2.19,18.58,0,0,132.23,0,1.09,1.09,26.23,1.09,2.19,8.74,0,1.09,0,0,1.09,0,5.46,0,0,0,0,3.28,2.19
108-118,0,0,0,0,1.53,0,0,1.53,0,1.53,2.3,16.85,0,0.77,89.62,0,0,0,19.92,2.3,1.53,5.36,0,0,0,0.77,0,0,3.06,0,0,0,0,3.06,0
120,0,0,0,0,1.96,0,0,0,0,0,0,17.64,0,0,121.51,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
