stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,2,0,7,0,0,0,0,1
 24-34,0,0,0,2.46,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,33.66,0,0.82,0.82,0,0,3.28,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,5.64,0,0,0.81,0,0.81,0.81,0,0,1.61,0,0,1.61,39.48,0,0.81,0,0,0,0.81,0,8.86,0,0,0,0,1.61
 48-58,0,0,0,1.72,0,0,21.23,0,0,1.72,5.74,0.57,0,0,0.57,0.57,1.15,0.57,0.57,8.61,1.15,0.57,1.72,51.64,0,0.57,0.57,0,0,2.3,0,14.92,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0,0,37.3,0,0,0,14.72,0,0,0,0,0,0,0.98,0,17.67,0.98,0.98,0.98,82.45,0,0.98,0,0,0.98,0.98,0,11.78,0.98,0.98,0.98,0.98,0.98
 72-82,0,1.96,0,4.91,0,0,50.06,0,0,0,17.67,2.94,0,1.96,0.98,0,0.98,0,0,26.5,0,0.98,4.91,68.72,0,4.91,0.98,0,0,1.96,0,4.91,1.96,0.98,2.94,2.94,0
 84-94,0,0,0,6.37,0,0,24.43,1.06,0,1.06,3.19,8.5,0,4.25,0,1.06,0,1.06,0,20.18,0,2.12,4.25,50.98,0,4.25,2.12,0,0,5.31,0,2.12,3.19,2.12,1.06,2.12,0
 96-106,0,4.37,0,5.46,0,0,26.23,0,0,0,14.21,5.46,1.09,1.09,3.28,0,0,2.19,0,24.04,0,0,0,40.44,1.09,3.28,2.19,0,0,4.37,0,2.19,0,0,2.19,0,0
108-118,0,0,0,3.83,0.77,0.77,13.79,0,0.77,1.53,5.36,8.43,0.77,2.3,0,0.77,2.3,4.6,0,11.49,0,0,0.77,46.72,0,2.3,2.3,0,0,2.3,0,0.77,2.3,0.77,0.77,0.77,0
120,0,0,0,1.96,0,0,11.76,0,0,1.96,11.76,1.96,1.96,3.92,0,0,0,1.96,0,7.84,0,0,1.96,15.68,0,1.96,0,0,0,7.84,0,0,0,1.96,0,0,0
