stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,1,0,1,0,0,0,0,0,0,1,15,1,0,1,1,2,1,0,0
 24-34,0.82,0.82,4.1,0,1.64,0,0,0,4.93,0,24.63,0,1.64,0,0,0,4.1,0.82,0.82
 36-46,0,0,10.47,0,0.81,0,0,0,1.61,0,13.7,0,0.81,0,0,0,3.22,0,0
 48-58,0,0,4.59,0.57,0.57,0,0,0,0.57,0.57,8.03,0,0,0,0,0,4.02,0,0
 60-70,0,0,11.78,0,0,0,0,0,1.96,0.98,9.82,0,0,0,0,0,0,0,0
 72-82,0.98,0.98,4.91,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,0,0,0
 84-94,0,0,6.37,0,1.06,0,0,0,3.19,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,2.19,2.19,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0.77,2.3,0,0,0,0,0.77,0,0.77,6.13,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
